history_bin,phase,layer_group,adjacent_overlap_count,adjacent_overlap_mean,adjacent_overlap_p10,adjacent_overlap_p50,adjacent_overlap_p90,consecutive_c4_fraction_count,consecutive_c4_fraction_mean,consecutive_c4_fraction_p10,consecutive_c4_fraction_p50,consecutive_c4_fraction_p90,within_128_tokens_mean,within_128_tokens_p50,within_512_tokens_mean,within_512_tokens_p50,within_2048_tokens_mean,within_2048_tokens_p50,within_8192_tokens_mean,within_8192_tokens_p50,within_32768_tokens_mean,within_32768_tokens_p50
32K-64K,assistant,late,2688,0.6676359630766369,0.36328125,0.72265625,0.865234375,2688,0.4044634120771596,0.2837573385518591,0.3972602739726027,0.5401174168297456,0.03192138671875,0.03125,0.0847197033110119,0.080078125,0.18598502022879465,0.169921875,0.35466584705171134,0.34765625,0.8164156959170387,0.8359375
32K-64K,assistant,middle,2688,0.5926767985026041,0.267578125,0.642578125,0.8189453125000004,2688,0.43947296384307155,0.3385518590998043,0.4344422700587084,0.547945205479452,0.03382001604352679,0.033203125,0.09148733956473214,0.087890625,0.21618725004650297,0.19921875,0.41358221144903273,0.37890625,0.8720034644717262,0.916015625
32K-64K,prefill,all,8064,0.5070740230499752,0.15625,0.55078125,0.7890625,8064,0.4252729630665051,0.3013698630136986,0.42661448140900193,0.547945205479452,0.03557768322172619,0.03515625,0.11552598741319445,0.111328125,0.2479281955295139,0.2421875,0.4137323773096478,0.4140625,0.8219323536706349,0.859375
32K-64K,prefill,early,2688,0.5845889136904762,0.267578125,0.640625,0.79296875,2688,0.47320991752865527,0.3679060665362035,0.4735812133072407,0.5812133072407045,0.046635945638020836,0.052734375,0.15822056361607142,0.1689453125,0.32404945010230657,0.330078125,0.5062902541387648,0.51171875,0.8690817696707589,0.89453125
32K-64K,prefill,late,2688,0.5279126848493304,0.19140625,0.5673828125,0.806640625,2688,0.3795705782312925,0.2602739726027397,0.37377690802348335,0.49510763209393344,0.030714489164806548,0.029296875,0.09236726306733631,0.08984375,0.19360424223400297,0.19140625,0.33514622279575895,0.333984375,0.7681884765625,0.79296875
32K-64K,prefill,middle,2688,0.40872047061011907,0.0859375,0.3984375,0.744140625,2688,0.4230383934395676,0.31839530332681015,0.4187866927592955,0.5303326810176126,0.029382614862351192,0.029296875,0.0959901355561756,0.091796875,0.22613089425223215,0.220703125,0.39976065499441965,0.38671875,0.8285268147786459,0.875
64K+,assistant,all,2688,0.5950528099423363,0.298828125,0.638671875,0.8091796875000004,2688,0.40232591324200906,0.2857142857142857,0.40313111545988256,0.515264187866928,0.0313873291015625,0.029296875,0.08430698939732142,0.072265625,0.17394220261346727,0.158203125,0.27561006091889884,0.259765625,0.6675335112072173,0.662109375
64K+,assistant,early,896,0.6142251150948661,0.3642578125,0.6484375,0.7841796875,896,0.43587285085266986,0.33268101761252444,0.436399217221135,0.538160469667319,0.040431431361607144,0.04296875,0.10585893903459821,0.1025390625,0.21641322544642858,0.2119140625,0.3157414027622768,0.306640625,0.6856733049665179,0.68359375
64K+,assistant,late,896,0.6160692487444196,0.3056640625,0.6728515625,0.8359375,896,0.36569358051439754,0.2563600782778865,0.3639921722113503,0.4774951076320939,0.024180821010044644,0.021484375,0.06367274693080358,0.0546875,0.13044084821428573,0.1162109375,0.21461050851004465,0.201171875,0.5759560721261161,0.580078125
64K+,assistant,middle,896,0.5548640659877232,0.2529296875,0.591796875,0.7998046875,896,0.40541130835896005,0.2974559686888454,0.40117416829745595,0.512720156555773,0.029549734933035716,0.02734375,0.0833892822265625,0.0693359375,0.1749725341796875,0.158203125,0.296478271484375,0.28125,0.7409711565290179,0.75
