B,H,Q,bf16_status,bf16_tflops,bf16_latency_ms,q8kv8_status,q8kv8_skip_reason,q8kv8_tflops,q8kv8_latency_ms,q8kv8_vs_bf16_tflops
1,524288,4,ok,16.824720540672168,0.06780800223350525,ok,,17.728286901382603,0.06435199826955795,1.0537046876069145
2,2048,4,ok,33.41291922731579,0.06828799843788147,ok,,35.68726984653266,0.06393600255250931,1.068068000995182
2,4096,4,ok,33.41291922731579,0.06828799843788147,ok,,35.72302890508288,0.06387200206518173,1.0691382175275042
2,8192,4,ok,33.42858410051491,0.06825599819421768,ok,,35.65158230664071,0.06400000303983688,1.0664999211286235
2,16384,4,ok,33.381633483706075,0.06835199892520905,ok,,35.421345939406166,0.06441599875688553,1.0611028353868812
2,32768,4,ok,33.19514249616488,0.0687360018491745,ok,,35.61596607106379,0.06406400352716446,1.0729270427195363
2,65536,4,ok,33.42858410051491,0.06825599819421768,ok,,35.580425060153,0.06412799656391144,1.064371286356844
2,131072,4,ok,33.381633483706075,0.06835199892520905,ok,,35.72302890508288,0.06387200206518173,1.0701402291328752
2,262144,4,ok,33.649441081344335,0.06780800223350525,ok,,35.56267907623407,0.06415999680757523,1.0568579427594254
2,524288,4,ok,32.64796921488569,0.06988800317049026,ok,,35.456573802765206,0.06435199826955795,1.0860269307837667
4,2048,4,ok,65.9909028315469,0.06915199756622314,ok,,71.01909435397117,0.06425599753856659,1.0761952224727034
4,4096,4,ok,66.17463046347206,0.06896000355482101,ok,,71.12535815246814,0.06415999680757523,1.0748130764663484
4,8192,4,ok,66.73202514422671,0.06838399916887283,ok,,71.08990157071175,0.06419199705123901,1.065304123725699
4,16384,4,ok,66.48313924329364,0.06864000111818314,ok,,71.01909435397117,0.06425599753856659,1.0682271499556948
4,32768,4,ok,65.71720575784684,0.06943999975919724,ok,,69.70006716610935,0.06547199934720993,1.0606060675029072
4,65536,4,ok,65.96037951637213,0.06918399780988693,ok,,69.0587619838601,0.0660799965262413,1.0469733875124068
