case_id,kind,backend,cache_state,figure2_hardware_tflops,observed_utilization_vs_platform_max
decode_b8_h262144_sparse_steady,decode,flashmla_sparse_fp8,steady,114.893,0.3387
decode_b8_h32768_sparse_steady,decode,flashmla_sparse_fp8,steady,115.994,0.3420
decode_b8_h4096_sparse_steady,decode,flashmla_sparse_fp8,steady,116.547,0.3436
decode_b8_h524288_sparse_steady,decode,flashmla_sparse_fp8,steady,114.395,0.3372
decode_b8_h65536_sparse_steady,decode,flashmla_sparse_fp8,steady,115.693,0.3411
decode_b8_h8192_sparse_steady,decode,flashmla_sparse_fp8,steady,115.979,0.3419
prefillq1024_b1_h32768_dense_l2-cold,prefill,flashinfer_fa3_dense_bf16,l2-cold,597.291,0.9876
prefillq1024_b1_h65536_dense_l2-cold,prefill,flashinfer_fa3_dense_bf16,l2-cold,604.801,1.0000
prefillq16_b64_h32768_dense_l2-cold,prefill,flashinfer_fa3_dense_bf16,l2-cold,580.979,0.9606
prefillq16_b64_h65536_dense_l2-cold,prefill,flashinfer_fa3_dense_bf16,l2-cold,589.354,0.9745
prefillq256_b8_h32768_dense_l2-cold,prefill,flashinfer_fa3_dense_bf16,l2-cold,603.878,0.9985
prefillq256_b8_h65536_dense_l2-cold,prefill,flashinfer_fa3_dense_bf16,l2-cold,592.625,0.9799
prefillq1024_b1_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,600.167,0.9157
prefillq1024_b1_h16384_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,573.802,0.8755
prefillq1024_b1_h2048_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,582.775,0.8892
prefillq1024_b1_h262144_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,595.604,0.9088
prefillq1024_b1_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,597.898,0.9123
prefillq1024_b1_h4096_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,610.111,0.9309
prefillq1024_b1_h524288_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,581.586,0.8874
prefillq1024_b1_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,603.905,0.9215
prefillq1024_b1_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,618.402,0.9436
prefillq1024_b2_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,594.320,0.9068
prefillq1024_b2_h16384_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,593.845,0.9061
prefillq1024_b2_h2048_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,581.913,0.8879
prefillq1024_b2_h262144_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,581.340,0.8870
prefillq1024_b2_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,603.321,0.9206
prefillq1024_b2_h4096_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,621.690,0.9486
prefillq1024_b2_h524288_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,580.426,0.8856
prefillq1024_b2_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,601.765,0.9182
prefillq1024_b2_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,573.371,0.8749
prefillq1024_b4_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,584.232,0.8914
prefillq1024_b4_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,595.023,0.9079
prefillq1024_b4_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,582.973,0.8895
prefillq1024_b4_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,589.944,0.9001
prefillq1024_b8_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,592.253,0.9037
prefillq1024_b8_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,595.635,0.9088
prefillq1024_b8_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,585.593,0.8935
prefillq1024_b8_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,601.015,0.9170
prefillq16384_b1_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,585.726,0.8937
prefillq16384_b1_h16384_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,584.219,0.8914
prefillq16384_b1_h2048_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,594.415,0.9070
prefillq16384_b1_h262144_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,583.685,0.8906
prefillq16384_b1_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,583.346,0.8901
prefillq16384_b1_h4096_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,587.442,0.8963
prefillq16384_b1_h524288_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,582.698,0.8891
prefillq16384_b1_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,586.711,0.8952
prefillq16384_b1_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,583.610,0.8905
prefillq16_b128_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,560.982,0.8560
prefillq16_b128_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,582.080,0.8882
prefillq16_b128_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,571.667,0.8723
prefillq16_b128_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,556.967,0.8498
prefillq16_b16_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,583.808,0.8908
prefillq16_b16_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,587.085,0.8958
prefillq16_b16_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,575.685,0.8784
prefillq16_b16_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,618.612,0.9439
prefillq16_b1_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,549.611,0.8386
prefillq16_b1_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,514.494,0.7850
prefillq16_b1_h4096_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,220.019,0.3357
prefillq16_b1_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,574.376,0.8764
prefillq16_b1_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,325.551,0.4967
prefillq16_b2_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,589.835,0.9000
prefillq16_b2_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,567.029,0.8652
prefillq16_b2_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,584.753,0.8922
prefillq16_b2_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,420.639,0.6418
prefillq16_b32_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,576.599,0.8798
prefillq16_b32_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,573.796,0.8755
prefillq16_b32_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,588.274,0.8976
prefillq16_b32_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,624.639,0.9531
prefillq16_b4_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,570.489,0.8705
prefillq16_b4_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,574.813,0.8771
prefillq16_b4_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,588.523,0.8980
prefillq16_b4_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,477.240,0.7282
prefillq16_b64_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,585.273,0.8930
prefillq16_b64_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,580.279,0.8854
prefillq16_b64_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,589.409,0.8993
prefillq16_b64_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,585.190,0.8929
prefillq16_b8_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,538.931,0.8223
prefillq16_b8_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,573.765,0.8755
prefillq16_b8_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,580.753,0.8861
prefillq16_b8_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,510.749,0.7793
prefillq1_b128_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,365.042,0.5570
prefillq1_b128_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,357.665,0.5457
prefillq1_b128_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,363.193,0.5542
prefillq1_b128_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,333.550,0.5089
prefillq1_b16_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,347.664,0.5305
prefillq1_b16_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,327.511,0.4997
prefillq1_b16_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,355.632,0.5426
prefillq1_b16_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,224.339,0.3423
prefillq1_b1_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,182.246,0.2781
prefillq1_b1_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,73.853,0.1127
prefillq1_b1_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,119.738,0.1827
prefillq1_b1_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,34.351,0.0524
prefillq1_b2_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,272.607,0.4159
prefillq1_b2_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,147.707,0.2254
prefillq1_b2_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,214.853,0.3278
prefillq1_b2_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,62.173,0.0949
prefillq1_b32_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,345.172,0.5267
prefillq1_b32_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,351.610,0.5365
prefillq1_b32_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,344.595,0.5258
prefillq1_b32_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,271.794,0.4147
prefillq1_b4_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,331.693,0.5061
prefillq1_b4_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,233.119,0.3557
prefillq1_b4_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,291.409,0.4446
prefillq1_b4_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,110.305,0.1683
prefillq1_b64_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,355.076,0.5418
prefillq1_b64_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,350.880,0.5354
prefillq1_b64_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,352.378,0.5377
prefillq1_b64_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,313.029,0.4776
prefillq1_b8_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,358.563,0.5471
prefillq1_b8_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,286.799,0.4376
prefillq1_b8_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,329.683,0.5030
prefillq1_b8_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,159.534,0.2434
prefillq2048_b1_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,584.754,0.8922
prefillq2048_b1_h16384_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,598.806,0.9137
prefillq2048_b1_h2048_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,578.118,0.8821
prefillq2048_b1_h262144_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,581.222,0.8868
prefillq2048_b1_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,598.300,0.9129
prefillq2048_b1_h4096_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,569.399,0.8688
prefillq2048_b1_h524288_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,579.835,0.8847
prefillq2048_b1_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,594.735,0.9075
prefillq2048_b1_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,583.973,0.8910
prefillq2048_b2_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,583.404,0.8902
