B,Q,kind,H,role,backend,status,skip_reason,figure2_hardware_tflops,effective_e2e_tflops,figure2_latency_us,latency_ms_median
32,1,decode,2048,dense,flashmla_dense_bf16,ok,,231.88375595156438,156.96900099504347,39.35939999999999,0.05814399942755699
32,1,decode,4096,dense,flashmla_dense_bf16,ok,,265.78000110659093,217.8027345012752,68.6794,0.08380799740552902
32,1,decode,8192,dense,flashmla_dense_bf16,ok,,321.58408302803565,272.99610169284426,113.52310000000003,0.1337279975414276
32,1,decode,16384,dense,flashmla_dense_bf16,ok,,337.16927135510156,309.089869638751,216.5513,0.2362239956855774
32,1,decode,32768,dense,flashmla_dense_bf16,ok,,347.21710153900875,330.9691641291323,420.56940000000003,0.44121599197387695
32,1,decode,65536,dense,flashmla_dense_bf16,ok,,358.0594907611341,349.2711865157851,815.6683000000002,0.8361920118331909
32,1,decode,131072,dense,flashmla_dense_bf16,ok,,367.1983444742993,362.9958928594971,1590.7358,1.6091519594192505
32,1,decode,262144,dense,flashmla_dense_bf16,ok,,369.03802968380484,371.9950369381507,3165.6117000000004,3.1404480934143066
32,1,decode,524288,dense,flashmla_dense_bf16,ok,,371.9618249434805,378.311217287226,6281.457,6.176032066345215
32,1,decode,2048,sparse,flashmla_sparse_fp8,ok,,175.13121216714868,129.40683738710513,52.114099999999986,0.07052800059318542
32,1,decode,4096,sparse,flashmla_sparse_fp8,ok,,180.02334424108298,137.9838823790421,50.6979,0.06614399701356888
32,1,decode,8192,sparse,flashmla_sparse_fp8,ok,,179.74148940276584,136.92398852465462,50.777399999999986,0.06665600091218948
32,1,decode,16384,sparse,flashmla_sparse_fp8,ok,,177.6794207920696,137.18743254824292,51.366699999999994,0.06652799993753433
32,1,decode,32768,sparse,flashmla_sparse_fp8,ok,,176.96181297140092,136.7270685422564,51.57499999999999,0.06675200164318085
32,1,decode,65536,sparse,flashmla_sparse_fp8,ok,,176.55820246107297,136.92398852465462,51.69290000000001,0.06665600091218948
32,1,decode,131072,sparse,flashmla_sparse_fp8,ok,,177.70190739132624,136.26978391746326,51.360200000000034,0.06697600334882736
32,1,decode,262144,sparse,flashmla_sparse_fp8,ok,,176.83289553326122,137.25345202745015,51.61260000000001,0.06649599969387054
32,1,decode,524288,sparse,flashmla_sparse_fp8,ok,,177.8463030680944,136.79264557188787,51.31849999999999,0.06672000139951706
64,1,decode,2048,dense,flashmla_dense_bf16,ok,,256.33385911869493,197.72108417320226,71.2103,0.09232000261545181
64,1,decode,4096,dense,flashmla_dense_bf16,ok,,281.9131864946282,266.6161789255304,129.49809999999997,0.1369280070066452
64,1,decode,8192,dense,flashmla_dense_bf16,ok,,297.2926235607065,303.37738435190516,245.59789999999992,0.2406720072031021
64,1,decode,16384,dense,flashmla_dense_bf16,ok,,342.26737293552236,324.1283325726617,426.65149999999994,0.45052799582481384
64,1,decode,32768,dense,flashmla_dense_bf16,ok,,354.71942340833226,345.03272864347224,823.3487000000001,0.8464639782905579
64,1,decode,65536,dense,flashmla_dense_bf16,ok,,365.68307087470436,361.47195029979076,1597.3272999999995,1.615936040878296
64,1,decode,131072,dense,flashmla_dense_bf16,ok,,366.71476999431417,370.63170142513343,3185.6669000000006,3.1519999504089355
64,1,decode,262144,dense,flashmla_dense_bf16,ok,,369.69241062669977,377.53074305166695,6320.0167,6.188799858093262
64,1,decode,524288,dense,flashmla_dense_bf16,ok,,382.3608262262955,381.6012710015,12221.242600000001,12.24556827545166
64,1,decode,2048,sparse,flashmla_sparse_fp8,ok,,222.61098478251859,201.7776167885754,81.99779999999998,0.09046400338411331
64,1,decode,4096,sparse,flashmla_sparse_fp8,ok,,212.58153373147113,192.58114445062853,85.86640000000004,0.09478399902582169
64,1,decode,8192,sparse,flashmla_sparse_fp8,ok,,231.66715327874257,191.61079205506704,78.79240000000001,0.0952640026807785
64,1,decode,16384,sparse,flashmla_sparse_fp8,ok,,230.72250531504767,192.45119666935526,79.11500000000002,0.09484799951314926
64,1,decode,32768,sparse,flashmla_sparse_fp8,ok,,229.50730453303555,192.32142413929003,79.53390000000002,0.09491200000047684
64,1,decode,65536,sparse,flashmla_sparse_fp8,ok,,229.97921157303634,191.4178938226321,79.37070000000001,0.09536000341176987
64,1,decode,131072,sparse,flashmla_sparse_fp8,ok,,229.4995135321349,191.03327507807154,79.53659999999999,0.095551997423172
64,1,decode,262144,sparse,flashmla_sparse_fp8,ok,,229.27668419710625,191.4178938226321,79.61390000000002,0.09536000341176987
64,1,decode,524288,sparse,flashmla_sparse_fp8,ok,,228.6995771210355,190.2051818900732,79.8147999999999,0.09596800059080124
128,1,decode,2048,dense,flashmla_dense_bf16,ok,,291.44899746210115,256.0257415065198,125.26110000000003,0.14259199798107147
128,1,decode,4096,dense,flashmla_dense_bf16,ok,,354.9382020832209,327.83066164040827,205.71030000000002,0.22271999716758728
128,1,decode,8192,dense,flashmla_dense_bf16,ok,,365.3813327675213,349.09752081523067,399.6616,0.4183039963245392
128,1,decode,16384,dense,flashmla_dense_bf16,ok,,348.6570538266555,337.99228430320494,837.6649,0.8640959858894348
128,1,decode,32768,dense,flashmla_dense_bf16,ok,,359.3976458056686,354.69387402673595,1625.2625999999998,1.6468160152435303
128,1,decode,65536,dense,flashmla_dense_bf16,ok,,362.4248425941657,366.62673070067154,3223.374799999999,3.186431884765625
128,1,decode,131072,dense,flashmla_dense_bf16,ok,,368.475569914919,374.92911764352414,6340.887700000001,6.231743812561035
128,1,decode,262144,dense,flashmla_dense_bf16,ok,,380.936406072875,379.5324123173459,12266.941000000003,12.3123197555542
128,1,decode,524288,dense,flashmla_dense_bf16,ok,,383.2385854070063,382.6131074070398,24386.502800000006,24.426368713378906
128,1,decode,2048,sparse,flashmla_sparse_fp8,ok,,303.3426064355736,289.62952527723337,120.3498,0.1260479986667633
128,1,decode,4096,sparse,flashmla_sparse_fp8,ok,,317.34565505874957,277.3767856904592,115.03929999999998,0.1316159963607788
128,1,decode,8192,sparse,flashmla_sparse_fp8,ok,,316.0065198378212,277.17459879871046,115.52680000000001,0.13171200454235077
128,1,decode,16384,sparse,flashmla_sparse_fp8,ok,,316.273715974814,278.3920660418097,115.4292,0.1311360001564026
128,1,decode,32768,sparse,flashmla_sparse_fp8,ok,,315.4285049140951,275.9677647580842,115.73850000000002,0.13228799402713776
128,1,decode,65536,sparse,flashmla_sparse_fp8,ok,,313.417020723498,276.03452149889864,116.48130000000003,0.13225600123405457
128,1,decode,131072,sparse,flashmla_sparse_fp8,ok,,312.6354408443769,276.2350479354404,116.77250000000001,0.1321599930524826
128,1,decode,262144,sparse,flashmla_sparse_fp8,ok,,314.14492912055124,274.90378453476563,116.21139999999991,0.13279999792575836
128,1,decode,524288,sparse,flashmla_sparse_fp8,ok,,314.20522248644676,274.90378453476563,116.18909999999997,0.13279999792575836
256,1,decode,2048,dense,flashmla_dense_bf16,ok,,296.3626210158274,277.98505700317577,246.36860000000007,0.26265600323677063
256,1,decode,4096,dense,flashmla_dense_bf16,ok,,354.31452262408743,338.90847714335257,412.14480000000003,0.43088001012802124
256,1,decode,8192,dense,flashmla_dense_bf16,ok,,345.2157959450133,334.5971118845664,846.0151,0.8728640079498291
256,1,decode,16384,dense,flashmla_dense_bf16,ok,,358.5256757676118,351.09174159229127,1629.2154,1.6637120246887207
256,1,decode,32768,dense,flashmla_dense_bf16,ok,,361.0275718618733,363.60687212233455,3235.8501000000006,3.2128961086273193
256,1,decode,65536,dense,flashmla_dense_bf16,ok,,364.5833935818241,372.61962488571976,6408.581,6.2703680992126465
256,1,decode,131072,dense,flashmla_dense_bf16,ok,,379.59202125509256,378.77930755016666,12310.386299999998,12.336799621582031
256,1,decode,262144,dense,flashmla_dense_bf16,ok,,382.45021096181904,381.74192236507486,24436.7726,24.482112884521484
256,1,decode,524288,dense,flashmla_dense_bf16,skipped_memory_limit,skipped_memory_limit: estimated live tensors 144.0 GiB exceed current free GPU memory 78.6 GiB,,,,
256,1,decode,2048,sparse,flashmla_sparse_fp8,ok,,339.20133438635276,315.7190291473624,215.25400000000008,0.23126399517059326
256,1,decode,4096,sparse,flashmla_sparse_fp8,ok,,322.5417091240485,301.97213320200194,226.37209999999996,0.2417919933795929
256,1,decode,8192,sparse,flashmla_sparse_fp8,ok,,320.44047034866236,301.57301287714733,227.85650000000004,0.24211199581623077
256,1,decode,16384,sparse,flashmla_sparse_fp8,ok,,321.1672164225619,299.98702653841326,227.3409,0.2433920055627823
256,1,decode,32768,sparse,flashmla_sparse_fp8,ok,,318.19189464963756,298.0278669677671,229.46670000000003,0.24499200284481049
256,1,decode,65536,sparse,flashmla_sparse_fp8,ok,,316.9996923193146,297.9111388005114,230.32969999999992,0.24508799612522125
256,1,decode,131072,sparse,flashmla_sparse_fp8,ok,,319.4568209658726,297.75563134350176,228.55809999999997,0.2452159970998764
256,1,decode,262144,sparse,flashmla_sparse_fp8,ok,,319.0818380547376,297.32881272025304,228.8266999999999,0.24556800723075867
256,1,decode,524288,sparse,flashmla_sparse_fp8,skipped_memory_limit,skipped_memory_limit: estimated live tensors 84.8 GiB exceed current free GPU memory 78.7 GiB,,,,
1,2,prefill,2048,dense,flashmla_dense_bf16_multiquery,ok,,54.399481712254904,15.552613738797309,10.496100000000023,0.03670400008559227
1,2,prefill,4096,dense,flashmla_dense_bf16_multiquery,ok,,95.37163636363685,30.071367193692417,11.967999999999938,0.0379519984126091
1,2,prefill,8192,dense,flashmla_dense_bf16_multiquery,ok,,155.58483812692174,53.86421941619654,14.668899999999985,0.042367998510599136
1,2,prefill,16384,dense,flashmla_dense_bf16_multiquery,ok,,250.78769173283496,81.26461195262381,18.198500000000013,0.05615999922156334
1,2,prefill,32768,dense,flashmla_dense_bf16_multiquery,ok,,354.5432939714114,148.86519959519447,25.74399999999996,0.0613120011985302
1,2,prefill,65536,dense,flashmla_dense_bf16_multiquery,ok,,463.434319414862,250.4119275087824,39.38889999999988,0.07289600372314453
1,2,prefill,131072,dense,flashmla_dense_bf16_multiquery,ok,,542.7495792282701,363.10113451009755,67.26450000000004,0.10054399818181992
1,2,prefill,262144,dense,flashmla_dense_bf16_multiquery,ok,,597.370156675181,470.0688814253732,122.22739999999999,0.15532800555229187
