case_id,status,skip_reason,stage,pattern,pass_order,cache_state,row_layout,B,H,Q,topk,warmup,repeat,seed,timestamp,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,target_adjacent_overlap,achieved_adjacent_overlap,target_c4_consecutive_fraction,achieved_c4_consecutive_fraction,unique_kv,reuse_factor,selected_kv_working_set_bytes,selected_kv_working_set_vs_l2,profile_bins,extrapolated_64k_plus,setup_alloc_ms,setup_quant_ms,setup_indices_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after
b128_h16384_q32_csa_profile_sim_batch_inner_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,batch-inner,128,16384,32,2048,10,30,20260803,2026-08-13T08:09:00.755279+00:00,3.229343891143799,3.164031982421875,3.327712059020996,3.234779715538025,0.053388293852485245,361.7549396692543,8388608,1168231104512,0.6015625,0.6015625,0.4795130637871586,0.5746592542196673,1639060,5.11793833050651,944098560,18.0072509765625,"[""16K-32K""]",False,0.7883608341217041,11.52036339044571,315.3691701591015,2009334784,66.0,191.69,1755.0,1593.0,68.0,191.8,1665.0,1593.0
b128_h16384_q32_csa_profile_sim_batch_inner_descending_steady,ok,,full,csa_profile_sim,descending,steady,batch-inner,128,16384,32,2048,10,30,20260803,2026-08-13T08:28:17.511478+00:00,3.266688108444214,3.1267199516296387,3.2892799377441406,3.2464554786682127,0.04924006133196149,357.6194193416216,8388608,1168231104512,0.6015625,0.6015625,0.4795130637871586,0.5746592542196673,1639060,5.11793833050651,944098560,18.0072509765625,"[""16K-32K""]",False,0.8533857762813568,11.922575533390045,311.613954603672,2009334784,57.0,146.77,1755.0,1593.0,60.0,177.92,1710.0,1593.0
b128_h16384_q4096_csa_profile_sim_batch_inner_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,batch-inner,128,16384,4096,2048,10,30,20260803,2026-08-13T08:15:25.353794+00:00,446.79278564453125,442.0345458984375,899.6763916015625,525.4435923258463,163.34796962717792,334.6821752321334,1073741824,149533581377536,0.6015625,0.6015625,0.4795130637871586,0.5661830267560926,2620976,409.6725128349134,1509682176,28.79490234375,"[""16K-32K""]",False,174.25885051488876,166.77002981305122,35093.595918267965,79087797248,58.0,230.51,1710.0,1593.0,84.0,339.17,1740.0,1593.0
b128_h16384_q4096_csa_profile_sim_batch_inner_descending_steady,ok,,full,csa_profile_sim,descending,steady,batch-inner,128,16384,4096,2048,10,30,20260803,2026-08-13T08:20:58.577228+00:00,445.8771057128906,441.689697265625,479.5216369628906,448.79653015136716,10.028909874123176,335.3694985941344,1073741824,149533581377536,0.6015625,0.6015625,0.4795130637871586,0.5661830267560926,2620976,409.6725128349134,1509682176,28.79490234375,"[""16K-32K""]",False,169.87178474664688,166.91407561302185,34904.81000766158,79087797248,58.0,230.62,1710.0,1593.0,82.0,341.65,1500.0,1593.0
b128_h16384_q512_csa_profile_sim_batch_inner_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,batch-inner,128,16384,512,2048,10,30,20260803,2026-08-13T08:09:59.303275+00:00,55.21113586425781,52.60620880126953,55.852447509765625,54.768040593465166,1.0475388237811456,338.54941362096656,134217728,18691697672192,0.6015625,0.6015625,0.4795130637871586,0.5732717793981623,2162232,62.0736942196767,1245445632,23.754990234375,"[""16K-32K""]",False,1.1441558599472046,32.49126300215721,4591.237910091877,10942940160,57.0,114.01,1635.0,1593.0,69.0,340.28,1545.0,1593.0
b128_h16384_q512_csa_profile_sim_batch_inner_descending_steady,ok,,full,csa_profile_sim,descending,steady,batch-inner,128,16384,512,2048,10,30,20260803,2026-08-13T08:27:12.010949+00:00,54.99932861328125,52.6011848449707,55.52803039550781,54.62859280904134,0.9846721631346799,339.8531971839075,134217728,18691697672192,0.6015625,0.6015625,0.4795130637871586,0.5732717793981623,2162232,62.0736942196767,1245445632,23.754990234375,"[""16K-32K""]",False,1.2970417737960815,33.10355171561241,4586.744878441095,10942940160,56.0,114.32,1695.0,1593.0,69.0,345.22,1575.0,1593.0
b128_h16384_q8_csa_profile_sim_batch_inner_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,batch-inner,128,16384,8,2048,10,30,20260803,2026-08-13T08:08:57.496664+00:00,0.804032027721405,0.7964800000190735,0.8239679932594299,0.806685862938563,0.007975761255586656,363.24147056141555,2097152,292057776128,0.6015625,0.6015625,0.4795130637871586,0.5714113716976517,827496,2.534334909171766,476637696,9.091142578125,"[""16K-32K""]",False,0.6726235151290894,10.400723665952682,92.67738834023476,1691419648,69.0,182.18,1755.0,1593.0,69.0,180.35,1605.0,1593.0
b128_h16384_q8_csa_profile_sim_batch_inner_descending_steady,ok,,full,csa_profile_sim,descending,steady,batch-inner,128,16384,8,2048,10,30,20260803,2026-08-13T08:28:21.495705+00:00,0.8011199831962585,0.7971519827842712,0.8050559759140015,0.8012405335903168,0.0028316285023499807,364.561841239768,2097152,292057776128,0.6015625,0.6015625,0.4795130637871586,0.5714113716976517,827496,2.534334909171766,476637696,9.091142578125,"[""16K-32K""]",False,0.6359852850437164,10.971665382385254,88.1430134177208,1691419648,59.0,169.33,1755.0,1593.0,61.0,178.33,1710.0,1593.0
b128_h2048_q1024_csa_profile_sim_batch_inner_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,batch-inner,128,2048,1024,2048,10,30,20260803,2026-08-13T08:10:40.226706+00:00,108.42787170410156,105.32918548583984,109.31609344482422,107.88592427571615,1.3333916262617642,344.77662207004175,268435456,37383395344384,0.8476906158357771,0.8476906158357771,0.722527752539372,0.9692006120476471,392988,683.0627296507781,226361088,4.3174951171875,"[""2K-8K""]",False,1.3865642249584198,47.3051555454731,29614.78266492486,19620955136,52.0,127.29,1680.0,1593.0,68.0,331.27,1695.0,1593.0
b128_h2048_q1024_csa_profile_sim_batch_inner_descending_steady,ok,,full,csa_profile_sim,descending,steady,batch-inner,128,2048,1024,2048,10,30,20260803,2026-08-13T08:26:03.328106+00:00,108.09721374511719,105.63011169433594,109.22882843017578,107.7288942972819,1.2132591671063344,345.83125733962436,268435456,37383395344384,0.8476906158357771,0.8476906158357771,0.722527752539372,0.9692006120476471,392988,683.0627296507781,226361088,4.3174951171875,"[""2K-8K""]",False,1.402921974658966,46.57864570617676,30445.883844047785,19620955136,50.0,125.57,1605.0,1593.0,69.0,341.11,1500.0,1593.0
