B,H,Q,random_tflops,random_latency_ms,outer_latency_ms,outer_tflops,outer_pass_spread,outer_pass_count,inner_latency_ms,inner_tflops,inner_pass_spread,inner_pass_count,inner_vs_outer_tflops,inner_vs_outer_latency
2,524288,2,15.719393019412701,0.07257600128650665,0.07099200040102005,16.070150582923034,0.002256229690360545,2,0.07067199796438217,16.14359153338296,0.013217861782642393,2,1.004570022544653,0.9954924155562563
2,524288,8,60.99500831462165,0.07481600344181061,0.07126399874687195,64.03529290441357,0.0026978623445312877,2,0.07068799808621407,64.55856772059981,0.01000906959051684,2,1.0081716627261679,0.9919173682253809
2,524288,32,190.77771021800658,0.09567999839782715,0.07623999938368797,239.4231163578383,0.0012599844108098779,2,0.07585600018501282,240.6453203961758,0.01316348329670003,2,1.0051047871104928,0.9949632843418239
2,524288,128,274.80446457076823,0.2656959891319275,0.22750400006771088,320.94687543995434,0.011174026980297125,2,0.22355200350284576,326.61055543199615,0.0,2,1.0176467833945353,0.982628891959311
2,524288,512,343.12589767146585,0.8511679768562317,0.6170240044593811,473.3330511926488,0.0010378312593459782,2,0.6294400095939636,464.006136644221,0.009295625433576982,2,0.9802952392085722,1.0201224021186357
2,524288,1024,350.68703586523907,1.6656320095062256,1.2021600008010864,485.90420154577964,0.011484939966310614,2,1.2342560291290283,473.25439144127415,0.0032460368003484064,2,0.9739664525141718,1.026698632716572
2,524288,4096,345.82696150958583,6.756159782409668,5.064624071121216,461.3783871210469,0.02072831583087864,2,5.186752080917358,450.50014604619287,0.017224396169735368,2,0.9764223002669606,1.0241139338440781
4,2048,2,31.355833468266614,0.07276800274848938,0.07171199843287468,31.81962070327309,0.016194351065469847,2,0.07083199918270111,32.21345481576748,0.008620649584813567,2,1.0123770838177804,0.9877287027358848
4,2048,8,129.937438950348,0.07023999840021133,0.06971200183033943,130.92158803582407,0.0004591403076121825,2,0.0695360004901886,131.2576522789185,0.012037129159247373,2,1.0025669123643877,0.9974753079020858
4,2048,32,265.93255697317454,0.13728000223636627,0.13684800267219543,266.7747070588963,0.006333561375915009,2,0.13598400354385376,268.4683750773005,0.0044811111205074194,2,1.0063486828908046,0.9936864323083232
4,2048,128,451.3751419395552,0.3235200047492981,0.3198560029268265,456.5459096709675,0.0013014648028777387,2,0.31910400092601776,457.6216880112469,0.0008024808608455558,2,1.0023563420840955,0.997648935790082
4,2048,512,529.1054989122485,1.1039680242538452,1.093616008758545,534.1166134142752,0.004486866656156829,2,1.083616018295288,539.0551140326438,0.009554304875573738,2,1.009246109359527,0.9908560313828904
4,2048,1024,488.82905731090744,2.3898561000823975,2.331679940223694,501.0255363020714,0.0005491408997972957,2,2.241952061653137,521.1219515341836,0.01861265826915126,2,1.0401105607918475,0.9615179266147701
4,2048,4096,516.1399064885054,9.053600311279297,9.553423881530762,489.1362722986297,0.0012166129395876357,2,9.07803201675415,514.7593740322687,0.008186640768481634,2,1.0523843828085508,0.9502385876862779
4,4096,2,31.191237853537068,0.07315199822187424,0.07175999879837036,31.797121248373408,0.0103092525290982,2,0.07067200168967247,32.285804477348734,0.0013593216072635972,2,1.0153687884245284,0.9848383900931365
4,4096,8,129.1724029307952,0.07065600156784058,0.07015999779105186,130.0856081245201,0.0004562078684864357,2,0.0692639984190464,131.7704213501287,0.007885032628149435,2,1.012951572813465,0.9872291989707027
4,4096,32,264.3305700380124,0.13811199367046356,0.1363680064678192,267.7145903556958,0.007300989579540618,2,0.1363839954137802,267.6811372843413,0.004703704920546281,2,0.999875042031478,1.000117248512867
4,4096,128,449.8622612628932,0.3246079981327057,0.32099200785160065,454.9301438629454,0.0011970165720605053,2,0.31939199566841125,457.2090197477729,0.0006012808158750715,2,1.0050092875039602,0.9950154142656128
4,4096,512,542.5678774602939,1.0765759944915771,1.093616008758545,534.1149259962617,0.002724900927081997,2,1.0832959413528442,539.2184754537368,0.011049397305601616,2,1.0095551522885373,0.9905633537520945
4,4096,1024,494.6443133335567,2.361759901046753,2.2920479774475098,509.68876690148727,9.778347742184224e-05,2,2.282032012939453,511.9350292055912,0.008519835671946252,2,1.0044071253870464,0.9956301244098692
4,4096,4096,515.9174727045098,9.057503700256348,9.739151954650879,479.81381648252386,0.0069007694313698575,2,9.046416282653809,516.5594957785414,0.008707709502459249,2,1.0765832038047531,0.928871047990348
4,8192,2,31.466534516391825,0.07251200079917908,0.07152000069618225,31.902989521437924,0.0008952619589643884,2,0.0706080012023449,32.31505572047176,0.00045331260162595477,2,1.0129162252571013,0.9872483293489951
