case_id,status,skip_reason,stage,pattern,pass_order,cache_state,B,H,Q,topk,warmup,repeat,seed,timestamp,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,target_adjacent_overlap,achieved_adjacent_overlap,target_c4_consecutive_fraction,achieved_c4_consecutive_fraction,unique_kv,reuse_factor,selected_kv_working_set_bytes,selected_kv_working_set_vs_l2,profile_bins,extrapolated_64k_plus,setup_alloc_ms,setup_quant_ms,setup_indices_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after
b128_h16384_q32_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,16384,32,2048,10,30,20260803,2026-08-12T08:24:32.205027+00:00,2.4873600006103516,2.361759901046753,2.6078081130981445,2.512827730178833,0.08466113458076945,469.6670784387213,8388608,1168231104512,0.6015625,0.6015625,0.4795130637871586,0.5746592542196673,1639060,5.11793833050651,944098560,18.0072509765625,"[""16K-32K""]",False,0.9021461009979248,11.273827403783798,4438.143905252218,2009334784,46.0,89.42,1755.0,1593.0,51.0,119.74,1695.0,1593.0
b128_h16384_q32_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,16384,32,2048,10,30,20260803,2026-08-12T09:35:40.641869+00:00,2.585536003112793,2.3617920875549316,2.6384639739990234,2.5490943988164267,0.10369578567754224,451.8332381005473,8388608,1168231104512,0.6015625,0.6015625,0.4795130637871586,0.5746592542196673,1639060,5.11793833050651,944098560,18.0072509765625,"[""16K-32K""]",False,0.8871778845787048,11.940613389015198,327.3627646267414,2009334784,56.0,158.66,1755.0,1593.0,61.0,165.05,1620.0,1593.0
b128_h16384_q4096_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,16384,4096,2048,10,30,20260803,2026-08-12T09:23:16.057878+00:00,322.7170104980469,312.100341796875,329.6763000488281,321.4826212565104,5.264452585038196,463.3582256688666,1073741824,149533581377536,0.6015625,0.6015625,0.4795130637871586,0.5661830267560926,2620976,409.6725128349134,1509682176,28.79490234375,"[""16K-32K""]",False,138.45355808734894,166.84601083397865,36164.45654630661,59760444416,57.0,178.86,1650.0,1593.0,81.0,327.62,1590.0,1593.0
b128_h16384_q4096_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,16384,4096,2048,10,30,20260803,2026-08-12T09:28:58.313853+00:00,322.489013671875,315.7288513183594,332.5684509277344,323.0810953776042,5.4020609317504285,463.68581575830956,1073741824,149533581377536,0.6015625,0.6015625,0.4795130637871586,0.5661830267560926,2620976,409.6725128349134,1509682176,28.79490234375,"[""16K-32K""]",False,140.3217688202858,166.88179224729538,35652.35132351518,59760444416,58.0,181.67,1695.0,1593.0,81.0,318.45,1500.0,1593.0
b128_h16384_q512_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,16384,512,2048,10,30,20260803,2026-08-12T08:35:07.155711+00:00,38.76959991455078,37.73507308959961,40.890174865722656,38.98021926879883,0.8574502789734185,482.1225319164756,134217728,18691697672192,0.6015625,0.6015625,0.4795130637871586,0.5732717793981623,2162232,62.0736942196767,1245445632,23.754990234375,"[""16K-32K""]",False,1.2097619473934174,31.69785439968109,68273.26640859246,8527021056,50.0,99.8,1740.0,1593.0,65.0,338.89,1620.0,1593.0
b128_h16384_q512_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,16384,512,2048,10,30,20260803,2026-08-12T09:34:39.208009+00:00,39.2380485534668,38.56208038330078,40.87833786010742,39.316642888387044,0.7037001801159947,476.36664822212555,134217728,18691697672192,0.6015625,0.6015625,0.4795130637871586,0.5732717793981623,2162232,62.0736942196767,1245445632,23.754990234375,"[""16K-32K""]",False,1.2534856796264648,32.306257635354996,4629.778772592545,8527021056,54.0,105.72,1740.0,1593.0,67.0,329.5,1710.0,1593.0
b128_h16384_q8_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,16384,8,2048,10,30,20260803,2026-08-12T08:24:12.680693+00:00,0.6543999910354614,0.652895987033844,0.6604480147361755,0.6556117296218872,0.0029850686118989013,446.2985637665964,2097152,292057776128,0.6015625,0.6015625,0.4795130637871586,0.5714113716976517,827496,2.534334909171766,476637696,9.091142578125,"[""16K-32K""]",False,0.7483996450901031,10.301373898983002,1164.7200882434845,1691419648,50.0,92.62,1755.0,1593.0,53.0,100.48,1695.0,1593.0
b128_h16384_q8_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,16384,8,2048,10,30,20260803,2026-08-12T09:35:44.437313+00:00,0.6576640009880066,0.6548479795455933,0.6614720225334167,0.6578613340854644,0.002050185393345318,444.08356803663037,2097152,292057776128,0.6015625,0.6015625,0.4795130637871586,0.5714113716976517,827496,2.534334909171766,476637696,9.091142578125,"[""16K-32K""]",False,0.7598698139190674,10.973088443279266,80.60778677463531,1691419648,58.0,166.96,1740.0,1593.0,60.0,172.17,1740.0,1593.0
b128_h2048_q1024_csa_profile_sim_ascending_steady,ok,,full,csa_profile_sim,ascending,steady,128,2048,1024,2048,10,30,20260803,2026-08-12T08:41:47.626890+00:00,77.87715148925781,73.02249908447266,78.4820785522461,76.94720560709635,1.8040594192924633,480.0303379039304,268435456,37383395344384,0.8476906158357771,0.8476906158357771,0.722527752539372,0.9692006120476471,392988,683.0627296507781,226361088,4.3174951171875,"[""2K-8K""]",False,2.5126561522483826,47.34790697693825,436250.0291466713,14789116928,45.0,109.1,1725.0,1593.0,67.0,342.95,1545.0,1593.0
b128_h2048_q1024_csa_profile_sim_descending_steady,ok,,full,csa_profile_sim,descending,steady,128,2048,1024,2048,10,30,20260803,2026-08-12T09:33:34.793947+00:00,78.78864288330078,73.64134216308594,80.7804183959961,78.08533401489258,2.1560063412835273,474.4769547529216,268435456,37383395344384,0.8476906158357771,0.8476906158357771,0.722527752539372,0.9692006120476471,392988,683.0627296507781,226361088,4.3174951171875,"[""2K-8K""]",False,1.437164843082428,45.14408856630325,29123.452585190535,14789116928,50.0,113.82,1560.0,1593.0,69.0,336.58,1650.0,1593.0
