B,H,Q,random_tflops,shared_template_sim_tflops,independent_seed_sim_tflops,shared_vs_random,independent_vs_random,independent_vs_shared
2,65536,8,63.07224096688537,63.226294450794406,64.22265560481469,1.0024424926330098,1.0182396347472944,1.0157586517235435
2,65536,32,214.60697804213865,239.481539490486,242.42751408602837,1.1159075146357225,1.129634815688179,1.0123014684213663
2,65536,128,323.4162149650338,329.4652197149526,331.670610260785,1.018703467760801,1.0255225153032095,1.0066938493469522
2,65536,512,469.5583387872442,485.78372463477604,485.4824951204,1.0345545686387725,1.0339130519421378,0.9993799102376217
2,65536,1024,468.7263678557564,499.08061248680974,496.6304509483457,1.0647589867195062,1.0595317119031298,0.9950906497324041
2,65536,4096,460.6124421232095,466.7608157992124,464.96512833501254,1.0133482579143145,1.0094497799315605,0.9961528744414305
2,131072,2,15.747166009955038,15.905330144650204,16.06651322596473,1.0100439745535914,1.0202796627537811,1.010133903530996
2,131072,8,61.68094358875696,63.40957744322685,64.38214589750096,1.0280254119650818,1.0437931417968185,1.015337879441712
2,131072,32,205.55868677217768,238.52374921515798,240.6351280234729,1.1603681311678924,1.1706395472849596,1.0088518598892657
2,131072,128,304.5110599731777,327.47781010299514,328.2600745191734,1.0754217273153903,1.0779906468687461,1.0023887554882946
2,131072,512,422.06831254115554,477.7931853946321,479.1488227691443,1.1320280892871881,1.1352399801925972,1.0028372890529875
2,131072,1024,432.95015364948307,490.4249349790574,486.3220647279948,1.1327514977072997,1.123274955854899,0.9916340504765774
2,131072,4096,414.024411682743,451.11850940468366,467.12168285968585,1.0895939869129383,1.1282467160840506,1.035474433261718
2,262144,2,15.733267258195912,15.88059282942201,16.041215486066314,1.0093639527510951,1.0195730627857975,1.0101143992777597
2,262144,8,61.86825617656617,63.15605236504166,63.99215492425976,1.0208151363568458,1.0343293779225355,1.0132386767048933
2,262144,32,195.75337349058987,236.93909321490946,239.67659150081457,1.2103959640128472,1.2243803885828621,1.0115535948448242
2,262144,128,283.2300659613096,326.4470908763833,327.8816706911347,1.1525862897654986,1.1576513587223634,1.00439452473263
2,262144,512,375.63506557811644,473.81209392835575,474.7746242080921,1.261362788905613,1.2639251968593406,1.002031459922764
2,262144,1024,386.9832102162704,489.2820442678576,485.5724013059559,1.2643495411452508,1.2547634845309896,0.9924181910916992
2,262144,4096,368.5662389203788,443.7920792847459,463.89635775413774,1.204103991143416,1.2586512511645243,1.045301120519757
2,524288,2,15.719393019412701,16.019766218641884,16.070150582923034,1.0191084476899481,1.022313683682135,1.0031451373006004
2,524288,8,60.99500831462165,63.28442473585105,64.03529290441357,1.0375344882227122,1.0498448098262347,1.0118649758087657
