B,H,Q,random_tflops,random_latency_ms,sim_tflops,sim_latency_ms,sim_pass_spread,sim_overlap,sim_c4_consecutive,unique_kv,extrapolated,pass_count,sim_vs_random_tflops
1,8192,1024,519.48349679628,0.5622079968452454,524.3637296812549,0.5569759905338287,0.001782633913102627,0.677734375,0.683301354574364,9208,False,2,1.0093943944611752
1,8192,4096,511.9509566206209,2.2819199562072754,510.8676665369859,2.287519931793213,0.03716107399792823,0.677734375,0.6749322521709883,12284,False,2,0.9978839963679611
1,16384,2,8.169473563244347,0.06982400268316269,8.398735207774001,0.06791999936103821,0.01089528290191466,0.6015625,0.5870841487279843,2864,False,2,1.0280632090617363
1,16384,8,31.634059494449016,0.07212799787521362,32.12585927221865,0.07102400064468384,0.0031587635936944913,0.6015625,0.5462328767123288,6484,False,2,1.0155465275601423
1,16384,32,129.642124338843,0.07039999961853027,129.47172666598274,0.07051200047135353,0.03368716715263487,0.6015625,0.5775440313111546,12744,False,2,0.9986856303556483
1,16384,128,263.41506550110677,0.13859200477600098,267.8691466243482,0.13628800213336945,0.003763848932073488,0.6015625,0.5701749021526419,16360,False,2,1.0169089839822496
1,16384,512,450.7064433153482,0.3240000009536743,455.56866582311136,0.3205439895391464,0.005003994844544168,0.6015625,0.5716426125244618,16892,False,2,1.0107880031001935
1,16384,1024,518.8928284376653,0.5628479719161987,525.4660613380634,0.5558080077171326,0.0025364271832151175,0.6015625,0.5703832100048923,17400,False,2,1.0126678044870834
1,16384,4096,494.47010464266907,2.3625919818878174,508.03873588870454,2.2996959686279297,0.019005683619984337,0.6015625,0.5661238877507339,20476,False,2,1.0274407514602746
1,32768,2,8.245047439546516,0.06918399780988693,8.386690817017778,0.06801600009202957,0.005188608739210121,0.5703125,0.45596868884540115,2928,False,2,1.017179207094902
1,32768,8,31.564041121787508,0.07228799909353256,32.0319783865384,0.07123199850320816,0.0008988832709555528,0.5703125,0.4936399217221135,7348,False,2,1.0148250112507897
1,32768,32,129.58322242528024,0.07043199986219406,131.40419659424967,0.06945599988102913,0.001383136405910701,0.5703125,0.4859344422700587,18520,False,2,1.0140525458071505
1,32768,128,253.07247595559213,0.14425599575042725,257.87810703415846,0.14156800508499146,0.0027161817714795866,0.5703125,0.49744679549902154,31112,False,2,1.0189891494933239
1,32768,512,448.80042251883543,0.3253760039806366,444.0467410412688,0.3288640081882477,0.0076186879086077575,0.5703125,0.5022894752935421,33276,False,2,0.9894080280698329
1,32768,1024,509.4220668748575,0.573311984539032,511.46585816303525,0.5710240006446838,0.0045494823951581775,0.5703125,0.5019168144569471,33784,False,2,1.0040119802832959
1,32768,4096,484.65630057305157,2.4104321002960205,501.0884839161447,2.3317919969558716,0.026714769200673727,0.5703125,0.4901292655332681,36860,False,2,1.0339048173389347
1,65536,2,8.271828807934007,0.06896000355482101,8.293095793934976,0.06878399848937988,0.00700274570589432,0.50390625,0.449119373776908,3064,False,2,1.00257101379813
1,65536,8,31.59201124325415,0.07222399860620499,32.06802799698774,0.07115199789404869,0.002251255409040809,0.50390625,0.42000978473581213,8664,False,2,1.015067630549645
1,65536,32,125.53374257465747,0.0727040022611618,131.19535594670432,0.06956800073385239,0.009242214778957702,0.50390625,0.4167074363992172,25364,False,2,1.0451003312410587
1,65536,128,237.92506740576357,0.15343999862670898,246.35086911006783,0.14819200336933136,0.0008641240829871943,0.50390625,0.4079623287671233,54448,False,2,1.0354136779120238
1,65536,512,425.3731232329655,0.34329599142074585,430.32769262384454,0.33934400975704193,0.0025493316918747677,0.50390625,0.41135640900195697,65952,False,2,1.011647584485881
1,65536,1024,477.6931428786143,0.6113920211791992,490.6532560439157,0.5952480137348175,0.005985151064477723,0.50390625,0.4111060573630137,66548,False,2,1.0271306242480325
1,65536,4096,448.3649858102963,2.6055359840393066,476.13596648171057,2.454751968383789,0.04494500076218877,0.50390625,0.4113841196795499,69628,False,2,1.0619383349509905
1,131072,2,8.214650719730855,0.06943999975919724,8.319280505267011,0.06857600063085556,0.023607135786321676,0.50390625,0.4158512720156556,3064,True,2,1.012736973135674
1,131072,8,31.522178679423465,0.07238399982452393,32.09004996204105,0.07110400125384331,0.007226688490069133,0.50390625,0.3852739726027397,8788,True,2,1.0180149756903787
1,131072,32,121.83369691563284,0.07491199672222137,131.343682975844,0.06948800012469292,0.0013824990110062885,0.50390625,0.40747309197651665,26428,True,2,1.0780571081808066
1,131072,128,224.97547700569518,0.16227200627326965,243.69542683841692,0.14980800449848175,0.005784055670263966,0.50390625,0.4094453277886497,65760,True,2,1.0832088460567986
1,131072,512,387.5830505441521,0.37676799297332764,423.4783510352407,0.34483200311660767,0.0,0.50390625,0.4077826871330724,115884,True,2,1.092613184298676
1,131072,1024,428.40806569575795,0.6817280054092407,482.4154975910377,0.6054080128669739,0.0024343714800014737,0.50390625,0.40730873899217224,129644,True,2,1.1260653947015884
1,131072,4096,404.516628606707,2.887968063354492,468.90821339242746,2.4916319847106934,0.02009373027754724,0.50390625,0.40823800223214285,135168,True,2,1.1591815520847857
1,262144,2,8.252681801158356,0.06911999732255936,8.357676456300538,0.06825600191950798,0.016068064890206957,0.50390625,0.410958904109589,3064,True,2,1.0127224892067745
1,262144,8,31.57801998891257,0.07225599884986877,32.08995246808112,0.07110400125384331,0.006320484481128874,0.50390625,0.40680039138943247,8716,True,2,1.016211671262109
1,262144,32,116.84255494147757,0.07811199873685837,130.77616264621497,0.0697919987142086,0.011992603975583327,0.50390625,0.4016022504892368,26764,True,2,1.1192511385232569
1,262144,128,214.36502921272532,0.17030400037765503,241.7056726831538,0.1510399952530861,0.00042382184680733737,0.50390625,0.4108671722113503,70808,True,2,1.127542461430577
1,262144,512,347.87336728912925,0.41977599263191223,420.1469499100266,0.34756799042224884,0.004521516585396901,0.50390625,0.4074883806262231,158800,True,2,1.2077583092494355
1,262144,1024,380.6324677250475,0.7672960162162781,481.2958357234344,0.6068159937858582,0.001794612348395841,0.50390625,0.4077826871330724,215320,True,2,1.2644634300379802
1,262144,4096,371.2120587021356,3.1470720767974854,462.79252851328556,2.5245440006256104,0.019505969190089623,0.50390625,0.40767996651785715,265720,True,2,1.2467066132801334
1,524288,2,8.18447730166378,0.06969600170850754,8.42673108592854,0.0676959976553917,0.014761906820951243,0.50390625,0.4021526418786693,3064,True,2,1.029599176017693
1,524288,8,31.452654157474413,0.07254400104284286,32.133046029792574,0.07100799679756165,0.00180425379612692,0.50390625,0.4026418786692759,8712,True,2,1.0216322561813587
1,524288,32,114.08507135000006,0.07999999821186066,130.92274669547606,0.06971200183033943,0.005985312588537628,0.50390625,0.40728962818003916,26908,True,2,1.147588769908553
1,524288,128,207.12612228677477,0.176256000995636,240.83822937525005,0.15158399939537048,0.0,0.50390625,0.4035744863013699,73156,True,2,1.162761252498125
1,524288,512,322.00132591756665,0.4535039961338043,418.83520024187203,0.3486559987068176,0.0037701651682435777,0.50390625,0.4069685665362035,184100,True,2,1.3007250794647198
1,524288,1024,350.0347322230828,0.8343679904937744,475.80580538534446,0.6138240098953247,0.006695312053958347,0.50390625,0.40674305895303325,289180,True,2,1.3593102671940158
1,524288,4096,348.0292291709369,3.356703996658325,463.54203603218593,2.520576000213623,0.023817814584381924,0.50390625,0.4070798870168787,501608,True,2,1.3319054756878312
2,2048,2,15.747166009955038,0.0724480003118515,16.228482456422547,0.07030400261282921,0.016521358551274234,1.0,1.0,4096,False,2,1.0305652741682683
2,2048,8,63.8345277964651,0.07148800045251846,63.90658584072729,0.071407999843359,0.005842741261211648,0.9983258928571429,0.99926614481409,4112,False,2,1.0011288255235777
2,2048,32,257.64467913536225,0.0708480030298233,260.2910194568315,0.07012799754738808,0.004115257881509349,0.9924395161290323,0.9983794031311155,4160,False,2,1.0102712787640336
2,2048,128,372.7661243369005,0.1958719938993454,373.5401456088975,0.19547200202941895,0.011028852373718978,0.968996062992126,0.9972556873776908,4352,False,2,1.0020764259986712
2,2048,512,518.8338189890381,0.5629119873046875,521.8515318177082,0.5596639811992645,0.0071727927034157535,0.8829500978473581,0.9927837573385518,5120,False,2,1.0058163379452598
2,2048,1024,519.0108326377692,1.125440001487732,535.1106368936636,1.0916000008583069,0.008803786122719925,0.8476906158357771,0.9693644126100782,6136,False,2,1.0310201699915786
2,2048,4096,496.13327324744006,4.709343910217285,518.0336763236221,4.51035213470459,0.009487974219461126,0.8212912087912088,0.8930676006757583,12280,False,2,1.0441421776306858
2,4096,2,15.657260561057084,0.07286400347948074,16.08467084794804,0.07092799991369247,0.003163045727705205,0.8125,0.8434442270058709,4864,False,2,1.027297897050651
2,4096,8,63.3243078015418,0.07206399738788605,64.12160760079624,0.07116799801588058,0.0018001937880320895,0.8125,0.8774461839530333,6928,False,2,1.012590738484709
