B,H,independent_known_touched_vs_l2,independent_latency_us,independent_over_shared,independent_selected_kv_vs_l2,independent_tflops,independent_unique_kv,shared_known_touched_vs_l2,shared_latency_us,shared_over_independent_tflops,shared_selected_kv_vs_l2,shared_tflops,shared_unique_kv
16,65536,0.455,46.28799855709076,1.0440273836057905,0.41,98.58727535301867,32768,0.070625,44.336000457406044,1.0440427132568197,0.025625,102.9293264521628,2048
16,131072,0.455,46.04800045490265,1.0367435011965909,0.41,99.10104479517139,32768,0.070625,44.416001066565514,1.036756453990804,0.025625,102.74364778862572,2048
16,262144,0.455,46.36800102889538,1.0409482947873452,0.41,98.42006894032664,32768,0.070625,44.544000178575516,1.0409187134443239,0.025625,102.44729153846646,2048
16,524288,0.455,46.191999688744545,1.041486314605781,0.41,98.79216552809234,32768,0.070625,44.35199871659279,1.041485732231976,0.025625,102.89063085380782,2048
32,4096,0.91,61.23200058937073,1.057766744170699,0.82,149.05288148885256,65536,0.115625,57.88799934089184,1.057778308335756,0.025625,157.66490483384837,2048
32,8192,0.91,61.85599975287914,1.0606309831725727,0.82,147.5493939232197,65536,0.115625,58.320000767707825,1.060631843587041,0.025625,156.49558569693505,2048
32,16384,0.91,61.69600039720535,1.0549931646210429,0.82,147.93192266240348,65536,0.115625,58.480000123381615,1.0549967503884836,0.025625,156.06769768755615,2048
32,32768,0.91,61.504000797867775,1.0551743110916478,0.82,148.39513413205592,65536,0.115625,58.28800052404404,1.0551641076398115,0.025625,156.5812192845409,2048
32,65536,0.91,61.85599975287914,1.0588879445002164,0.82,147.54959136600903,65536,0.115625,58.41600149869919,1.0588854734785664,0.025625,156.23811891516547,2048
32,131072,0.91,62.00000084936619,1.0613530751102669,0.82,147.20772460335024,65536,0.115625,58.41599963605404,1.0613465129785493,0.025625,156.2384051912724,2048
32,262144,0.91,62.111999839544296,1.0618162191766864,0.82,146.94144981097986,65536,0.115625,58.49599838256836,1.0618136826034277,0.025625,156.02444195088327,2048
32,524288,0.91,61.952000483870506,1.0590809666330954,0.82,147.3225198801084,65536,0.115625,58.49600024521351,1.0590683886544892,0.025625,156.02462374194533,2048
64,4096,1.82,87.64800056815147,1.0789836568664242,1.64,208.26068805308472,131072,0.205625,81.23200014233589,1.078984413711742,0.025625,224.71003639816158,2048
64,8192,1.82,88.40000256896019,1.0906040746558188,1.64,206.48913777019325,131072,0.205625,81.05599880218506,1.0906106531585225,0.025625,225.1992534136906,2048
64,16384,1.82,88.40000256896019,1.0884555081097629,1.64,206.48886718791192,131072,0.205625,81.216000020504,1.088466001984154,0.025625,224.75611172226346,2048
64,32768,1.82,88.57600018382072,1.0846395045816408,1.64,206.0786273798966,131072,0.205625,81.66399970650673,1.0846416029468962,0.025625,223.52145273442716,2048
64,65536,1.82,88.67199718952179,1.080101320128434,1.64,205.85565885734667,131072,0.205625,82.09599927067757,1.0801000951350486,0.025625,222.34471671590822,2048
64,131072,1.82,88.70399743318558,1.0802805690939912,1.64,205.78115458380722,131072,0.205625,82.11199939250946,1.080286475655842,0.025625,222.3025982417311,2048
64,262144,1.82,88.76800164580345,1.0743609860603247,1.64,205.63449085396644,131072,0.205625,82.62399956583977,1.074368165971198,0.025625,220.92715079919702,2048
64,524288,1.82,88.6559970676899,1.0811707152016878,1.64,205.892575869408,131072,0.205625,81.9999985396862,1.0811799418720167,0.025625,222.60692321036635,2048
128,4096,3.64,129.15199995040894,1.0894857497371346,3.28,282.66881037702103,262144,0.385625,118.54400113224983,1.0894853264982864,0.025625,307.963521164491,2048
128,32768,3.64,129.2480006814003,1.0993467560557197,3.28,282.4589751915157,262144,0.385625,117.5680011510849,1.0993815954146202,0.025625,310.5301987852272,2048
128,262144,3.64,130.35199791193008,1.0956158985755156,3.28,280.0664596674913,262144,0.385625,118.97600069642067,1.0956337152647635,0.025625,306.8502557265425,2048
256,4096,7.28,240.31999707221985,1.1585930132559732,6.56,303.8233149656155,524288,0.745625,207.42399990558624,1.158653287568068,0.025625,352.025882724739,2048
256,32768,7.28,241.34400486946106,1.1647876784080555,6.56,302.53319296431823,524288,0.745625,207.19999819993973,1.1647869919917486,0.025625,352.3867278105675,2048
256,262144,7.28,242.35200136899948,1.1495029294572447,6.56,301.27493877886604,524288,0.745625,210.83199977874756,1.149502633310179,0.025625,346.3163354766695,2048
