B,H,case_id,flops,flush_bytes,known_touched_bytes,known_touched_vs_l2,l2_bytes,latency_ms,latency_ms_mean,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_std,mem_clock_mhz_after,mem_clock_mhz_before,pairs,pass_count,pass_order,pass_spread_pct,pattern,peak_mem_alloc_bytes,power_w_after,power_w_before,repeat,seed,selected_kv_bytes,selected_kv_vs_l2,setup_alloc_ms,setup_indices_ms,setup_metadata_ms,setup_quant_ms,skip_reason,sm_clock_mhz_after,sm_clock_mhz_before,status,temp_c_after,temp_c_before,tflops,timestamp,topk,unique_selected_kv,warmup
1,16384,descending_shared_b1_h16384,285212672,268435456,1490944,0.0284375,52428800,0.03399999998509884,0.03409173327187697,0.033984001725912094,0.03363199904561043,0.03497600182890892,0.00045092250741874627,2619.0,2619.0,2048,2,descending,0.09415170888804614,shared,325932032,212.35,212.35,30,20260810,1343488,0.025625,0.7067449914757162,0.7547709974460304,0.08368800627067685,1.0336760024074465,,1980.0,1980.0,ok,43.0,43.0,8.388609860957487,2026-08-10T11:13:52.971084+00:00,2048,2048,5
1,16384,descending_independent_b1_h16384,285212672,268435456,1490944,0.0284375,52428800,0.033952001482248306,0.03438933317859968,0.033984001725912094,0.033535998314619064,0.03798399865627289,0.001160394071371564,2619.0,2619.0,2048,2,descending,0.1886806750902359,independent,325932032,212.35,212.35,30,20260810,1343488,0.025625,0.7067449914757162,0.7547709974460304,0.08368800627067685,1.0336760024074465,,1980.0,1980.0,ok,43.0,43.0,8.400474579184486,2026-08-10T11:13:52.972446+00:00,2048,2048,5
8,16384,descending_shared_b8_h16384,2281701376,268435456,2523136,0.048125,52428800,0.03686399944126606,0.037097599978248276,0.03702399879693985,0.03641600161790848,0.03827200084924698,0.0006917308581564142,2619.0,2619.0,16384,2,descending,0.8718360685520787,shared,729161728,217.36,217.36,30,20260810,1343488,0.025625,0.7406010117847472,2.9385930101852864,0.09556900477036834,2.3769070103298873,,1980.0,1980.0,ok,44.0,44.0,61.89627804265488,2026-08-10T11:13:52.870598+00:00,2048,2048,5
8,16384,descending_independent_b8_h16384,2281701376,268435456,11927552,0.2275,52428800,0.038047999143600464,0.038518399745225904,0.03811199963092804,0.03763199970126152,0.04217600077390671,0.0012455677792607475,2619.0,2619.0,16384,2,descending,0.33698657114398234,independent,729161728,217.36,217.36,30,20260810,10747904,0.205,0.7406010117847472,2.9385930101852864,0.09556900477036834,2.3769070103298873,,1980.0,1980.0,ok,44.0,44.0,59.9691937381484,2026-08-10T11:13:52.872187+00:00,2048,16384,5
32,16384,descending_shared_b32_h16384,9126805504,268435456,6062080,0.115625,52428800,0.058480000123381615,0.058709333464503285,0.058368001133203506,0.057472001761198044,0.0623680017888546,0.0013470022871655675,2619.0,2619.0,65536,2,descending,0.38376846218362015,shared,2109243392,227.47,222.25,30,20260810,1343488,0.025625,1.2935230042785406,9.12875501671806,0.117586983833462,6.833919003838673,,1980.0,1980.0,ok,43.0,45.0,156.06769768755615,2026-08-10T11:13:52.635127+00:00,2048,2048,5
32,16384,descending_independent_b32_h16384,9126805504,268435456,47710208,0.91,52428800,0.06169600039720535,0.061863466476400696,0.061664000153541565,0.061055999249219894,0.06313599646091461,0.0006273781573747602,2619.0,2619.0,65536,2,descending,0.10378906196195636,independent,2109243392,227.47,222.25,30,20260810,42991616,0.82,1.2935230042785406,9.12875501671806,0.117586983833462,6.833919003838673,,1980.0,1980.0,ok,43.0,45.0,147.93192266240348,2026-08-10T11:13:52.636557+00:00,2048,65536,5
64,16384,descending_shared_b64_h16384,18253611008,268435456,10780672,0.205625,52428800,0.081216000020504,0.08127253254254659,0.0809599980711937,0.0799039974808693,0.08361600339412689,0.0010876134983839555,2619.0,2619.0,131072,2,descending,0.6324158977503602,shared,3948216320,228.02,227.47,30,20260810,1343488,0.025625,1.2933480029460043,17.687952989945188,0.15538398292846978,13.040368998190388,,1980.0,1980.0,ok,43.0,43.0,224.75611172226346,2026-08-10T11:13:52.722891+00:00,2048,2048,5
64,16384,descending_independent_b64_h16384,18253611008,268435456,95420416,1.82,52428800,0.08840000256896019,0.0886218674480915,0.08844800293445587,0.0878399983048439,0.08991999924182892,0.0006587485312620328,2619.0,2619.0,131072,2,descending,0.10865710860776812,independent,3948216320,228.02,227.47,30,20260810,85983232,1.64,1.2933480029460043,17.687952989945188,0.15538398292846978,13.040368998190388,,1980.0,1980.0,ok,43.0,43.0,206.48886718791192,2026-08-10T11:13:52.724522+00:00,2048,131072,5
16,16384,descending_shared_b16_h16384,4563402752,268435456,3702784,0.070625,52428800,0.04422399960458279,0.04446399969359239,0.04416000097990036,0.043776001781225204,0.04758400097489357,0.0014242876192042365,2619.0,2619.0,32768,2,descending,0.28984883723872645,shared,1188380672,217.36,228.02,30,20260810,1343488,0.025625,1.171962998341769,4.825020994758233,0.09784600115381181,3.65890801185742,,1980.0,1980.0,ok,44.0,43.0,103.1885932899934,2026-08-10T11:13:52.814351+00:00,2048,2048,5
16,16384,descending_independent_b16_h16384,4563402752,268435456,23855104,0.455,52428800,0.04625600017607212,0.0477589330325524,0.04633599892258644,0.0451200008392334,0.047839999198913574,0.007268475110703276,2619.0,2619.0,32768,2,descending,0.34649490660796367,independent,1188380672,217.36,228.02,30,20260810,21495808,0.41,1.171962998341769,4.825020994758233,0.09784600115381181,3.65890801185742,,1980.0,1980.0,ok,44.0,43.0,98.65566378938176,2026-08-10T11:13:52.815784+00:00,2048,32768,5
