case_id,status,skip_reason,pass_order,pattern,B,H,topk,warmup,repeat,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,unique_selected_kv,selected_kv_bytes,selected_kv_vs_l2,known_touched_bytes,known_touched_vs_l2,l2_bytes,flush_bytes,setup_alloc_ms,setup_indices_ms,setup_quant_ms,setup_metadata_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after,seed,timestamp
ascending_independent_b32_h32768,ok,,ascending,independent,32,32768,2048,5,30,0.06169600039720535,0.06092799827456474,0.06307200342416763,0.06187626657386621,0.0006365499171151083,147.93188286502632,65536,9126805504,65536,42991616,0.82,47710208,0.91,52428800,268435456,1.198459998704493,8.970020979177207,13.025379012105986,0.12187601532787085,3944546304,41.0,183.7,1980.0,2619.0,41.0,183.7,1980.0,2619.0,20260810,2026-08-10T11:13:43.962478+00:00
ascending_shared_b1_h32768,ok,,ascending,shared,1,32768,2048,5,30,0.03433600068092346,0.033952001482248306,0.038176000118255615,0.03472213347752889,0.0012943970949467914,8.306519872550552,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,1.1664579797070473,0.7531869923695922,1.1696010187733918,0.08313401485793293,383313920,42.0,189.11,1980.0,2619.0,42.0,189.11,1980.0,2619.0,20260810,2026-08-10T11:13:44.051690+00:00
ascending_independent_b1_h32768,ok,,ascending,independent,1,32768,2048,5,30,0.03420799970626831,0.03359999880194664,0.03622400015592575,0.034605866918961205,0.00169113637151557,8.337601568317874,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,1.1664579797070473,0.7531869923695922,1.1696010187733918,0.08313401485793293,383313920,42.0,189.11,1980.0,2619.0,42.0,189.11,1980.0,2619.0,20260810,2026-08-10T11:13:44.053022+00:00
ascending_shared_b64_h32768,ok,,ascending,shared,64,32768,2048,5,30,0.08179199695587158,0.08060800284147263,0.0846719965338707,0.08202453330159187,0.001161322972220863,223.17111315729568,131072,18253611008,2048,1343488,0.025625,10780672,0.205625,52428800,268435456,10.079062019940466,17.6151669875253,25.690295005915686,0.153345987200737,4636147712,42.0,189.11,1980.0,2619.0,41.0,186.79,1980.0,2619.0,20260810,2026-08-10T11:13:44.160076+00:00
ascending_independent_b64_h32768,ok,,ascending,independent,64,32768,2048,5,30,0.088639996945858,0.08780799806118011,0.08931200206279755,0.08863679990172386,0.0004095793006155167,205.9297341712393,131072,18253611008,131072,85983232,1.64,95420416,1.82,52428800,268435456,10.079062019940466,17.6151669875253,25.690295005915686,0.153345987200737,4636147712,42.0,189.11,1980.0,2619.0,41.0,186.79,1980.0,2619.0,20260810,2026-08-10T11:13:44.161639+00:00
ascending_shared_b8_h32768,ok,,ascending,shared,8,32768,2048,5,30,0.03699199855327606,0.036159999668598175,0.03791999816894531,0.03711039995153745,0.0008507890331659491,61.68094358875696,16384,2281701376,2048,1343488,0.025625,2523136,0.048125,52428800,268435456,1.2662910157814622,2.6837979967240244,3.7373520026449114,0.09398697875440121,1187463168,43.0,194.75,1980.0,2619.0,43.0,194.75,1980.0,2619.0,20260810,2026-08-10T11:13:44.272666+00:00
ascending_independent_b8_h32768,ok,,ascending,independent,8,32768,2048,5,30,0.0382080003619194,0.037408001720905304,0.03907199949026108,0.03824640015761058,0.0005058563819547659,59.71789558173511,16384,2281701376,16384,10747904,0.205,11927552,0.2275,52428800,268435456,1.2662910157814622,2.6837979967240244,3.7373520026449114,0.09398697875440121,1187463168,43.0,194.75,1980.0,2619.0,43.0,194.75,1980.0,2619.0,20260810,2026-08-10T11:13:44.273999+00:00
ascending_shared_b32_h65536,ok,,ascending,shared,32,65536,2048,5,30,0.05843200162053108,0.057472001761198044,0.06220800057053566,0.058778667077422145,0.0014490051149377077,156.1953253505035,65536,9126805504,2048,1343488,0.025625,6062080,0.115625,52428800,268435456,1.0418029851280153,9.584671002812684,26.31194400601089,0.12320000678300858,4632477696,42.0,196.06,1980.0,2619.0,44.0,204.42,1980.0,2619.0,20260810,2026-08-10T11:13:44.434056+00:00
ascending_independent_b32_h65536,ok,,ascending,independent,32,65536,2048,5,30,0.06176000088453293,0.0607680007815361,0.06339199841022491,0.06179306668539842,0.0007201770165167034,147.77858441199766,65536,9126805504,65536,42991616,0.82,47710208,0.91,52428800,268435456,1.0418029851280153,9.584671002812684,26.31194400601089,0.12320000678300858,4632477696,42.0,196.06,1980.0,2619.0,44.0,204.42,1980.0,2619.0,20260810,2026-08-10T11:13:44.435540+00:00
ascending_shared_b64_h65536,ok,,ascending,shared,64,65536,2048,5,30,0.08211199939250946,0.08115199953317642,0.08352000266313553,0.08218026707569757,0.0007509999665325113,222.3013827826138,131072,18253611008,2048,1343488,0.025625,10780672,0.205625,52428800,268435456,25.23969701724127,35.359673987841234,52.77367099188268,0.18774199998006225,6012010496,42.0,204.76,1980.0,2619.0,44.0,202.12,1980.0,2619.0,20260810,2026-08-10T11:13:44.720849+00:00
ascending_independent_b64_h65536,ok,,ascending,independent,64,65536,2048,5,30,0.088639996945858,0.08793599903583527,0.08972799777984619,0.08886933301885923,0.0009079992334845415,205.9297341712393,131072,18253611008,131072,85983232,1.64,95420416,1.82,52428800,268435456,25.23969701724127,35.359673987841234,52.77367099188268,0.18774199998006225,6012010496,42.0,204.76,1980.0,2619.0,44.0,202.12,1980.0,2619.0,20260810,2026-08-10T11:13:44.722655+00:00
ascending_shared_b16_h65536,ok,,ascending,shared,16,65536,2048,5,30,0.04451199993491173,0.04396799951791763,0.045823998749256134,0.04465066653986772,0.0007506637668307102,102.52073055968945,32768,4563402752,2048,1343488,0.025625,3702784,0.070625,52428800,268435456,1.6097620246000588,4.7658070106990635,21.942855993984267,0.10387299698777497,3942711296,44.0,202.12,1980.0,2619.0,42.0,210.67,1980.0,2619.0,20260810,2026-08-10T11:13:44.868199+00:00
ascending_independent_b16_h65536,ok,,ascending,independent,16,65536,2048,5,30,0.04623999819159508,0.045951999723911285,0.04710400104522705,0.04627733329931895,0.0004176446908017894,98.68950974201114,32768,4563402752,32768,21495808,0.41,23855104,0.455,52428800,268435456,1.6097620246000588,4.7658070106990635,21.942855993984267,0.10387299698777497,3942711296,44.0,202.12,1980.0,2619.0,42.0,210.67,1980.0,2619.0,20260810,2026-08-10T11:13:44.869897+00:00
ascending_shared_b1_h65536,ok,,ascending,shared,1,65536,2048,5,30,0.034015998244285583,0.033695999532938004,0.03440000116825104,0.03415680006146431,0.0007673597122247695,8.384662709344813,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,1.1910810135304928,0.7485569803975523,1.568906009197235,0.08495297515764832,499503104,42.0,210.44,1980.0,2619.0,42.0,210.44,1980.0,2619.0,20260810,2026-08-10T11:13:44.959416+00:00
ascending_independent_b1_h65536,ok,,ascending,independent,1,65536,2048,5,30,0.034015998244285583,0.03347200155258179,0.034591998904943466,0.03400746658444405,0.0003480928020288696,8.384662709344813,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,1.1910810135304928,0.7485569803975523,1.568906009197235,0.08495297515764832,499503104,42.0,210.44,1980.0,2619.0,42.0,210.44,1980.0,2619.0,20260810,2026-08-10T11:13:44.961172+00:00
ascending_shared_b8_h65536,ok,,ascending,shared,8,65536,2048,5,30,0.03673600032925606,0.03622400015592575,0.037728000432252884,0.03690880015492439,0.0008978493849396397,62.11077296247962,16384,2281701376,2048,1343488,0.025625,2523136,0.048125,52428800,268435456,0.8228060032706708,2.697578980587423,6.857879983726889,0.0970310065895319,2106490880,42.0,206.4,1980.0,2619.0,42.0,206.4,1980.0,2619.0,20260810,2026-08-10T11:13:45.061145+00:00
