B,H,Q,original_tflops,trace_tflops,trace_vs_original_tflops,original_latency_ms,trace_latency_ms,original_overlap,trace_overlap,overlap_delta,original_unique_kv,trace_unique_kv,original_vs_trace_unique_kv,trace_c4_consecutive_fraction,original_pass_spread,trace_pass_spread,complete_two_pass
32,16384,2048,484.81127049689223,489.2506095871176,1.00915683970316,38.55502510070801,38.205759048461914,0.11781533916344804,0.6823732555931699,0.5645579164297219,589571,488028,1.2080679797060825,0.5296158165381146,0.006774747320718033,0.010326714380613389,True
32,32768,64,478.6503723185284,506.96749397425134,1.0591603460341168,1.2204639911651611,1.1521759629249573,0.06067136734250992,0.6096113901289684,0.5489400227864585,1035516,390068,2.65470635889127,0.46526609894814086,0.020475133616281616,0.001195004110511766,True
32,32768,256,467.2416020187196,507.97428502045784,1.0871769183774571,5.00054407119751,4.599567890167236,0.060973403033088236,0.5796393899356618,0.5186659869025736,1056286,602316,1.753707356271459,0.452125026755137,0.0001535366450964304,4.872608249129051e-05,True
32,32768,1024,475.6855095338186,486.8050299497724,1.0233757812527255,19.647536277770996,19.198416709899902,0.06103087543625519,0.5902415822794477,0.5292107068431925,1080831,813988,1.3278217860705563,0.44229072227403377,0.00928250091994065,0.003986570671215661,True
32,32768,2048,491.6500893218944,484.9833370186293,0.9864400465939909,38.01840019226074,38.54142379760742,0.06058518969261419,0.5590345627747924,0.4984493730821782,1113578,911676,1.221462449378946,0.4331985145165729,0.0033471549333825568,0.007350787098273859,True
32,65536,64,420.2540383571401,492.3930936548644,1.1716558288880004,1.389952003955841,1.1862879991531372,0.038091265966021824,0.39025103856646826,0.35215977260044645,1819690,653388,2.785006764740093,0.3576034277152642,0.01097252767579704,0.005545260429735022,True
32,65536,256,431.2203964764933,486.7403074869606,1.1287506608317257,5.418255805969238,4.804912090301514,0.036185290766697305,0.3691281786151961,0.3329428878484988,2103941,993588,2.1175185288067087,0.3615560214346869,0.000596680298995178,0.06449059845887928,True
32,65536,1024,465.3948178941969,507.9364276538357,1.091409719498231,20.081552505493164,18.39964771270752,0.03212480740812867,0.4222351253207478,0.39011031791261913,2128873,1328528,1.60242990738622,0.3752120702933892,0.0008369351412322867,0.0010335280009856618,True
32,65536,2048,445.05631424654314,483.885242230235,1.0872449771877233,41.998735427856445,38.628719329833984,0.03143628842084071,0.44829275693087445,0.4168564685100337,2161653,1573636,1.3736677351051958,0.3769899133133562,0.004745140894330646,0.006041528201359281,True
128,8192,64,489.3354516291737,501.26737801139245,1.0243839401835553,4.774768114089966,4.661200046539307,0.2510587298680866,0.7294224330357142,0.4783637031676276,1056332,789420,1.3381115249170277,0.5995482204011742,0.0013748014297854105,0.008846925077025336,True
128,8192,256,477.4780201574521,482.88810974765113,1.0113305521129854,19.573359489440918,19.35414409637451,0.24697506474513634,0.7283991196576287,0.4814240549124924,1080934,914348,1.1821910257363717,0.6069890151051859,0.00020767932051923843,0.0039993502450652585,True
128,8192,1024,483.1821565658863,489.2555376397744,1.0125695475119638,77.3693733215332,76.41068649291992,0.23590087144838634,0.7399554061516755,0.5040545347032892,1179156,1010664,1.1667141601956734,0.6190233771814992,0.003362426755280312,0.010166035920375016,True
128,8192,2048,486.5500741541662,487.65720599041344,1.002275473574168,153.6684341430664,153.3198699951172,0.22328003965824128,0.7496216088664434,0.5263415692082021,1310247,1032044,1.2695650573037585,0.6308553363479046,0.005669091962448247,0.00634913091565692,True
