case_id,status,skip_reason,stage,pattern,pass_order,cache_state,B,H,Q,topk,warmup,repeat,seed,timestamp,setup_alloc_ms,setup_quant_ms,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,achieved_adjacent_overlap,unique_kv,reuse_factor,selected_kv_working_set_bytes,selected_kv_working_set_vs_l2,c4_consecutive_fraction,trace_rows,hidden_layer_ids,setup_indices_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after
b32_h32768_q256_csa_trace_replay_ascending_steady,ok,,full,csa_trace_replay,ascending,steady,32,32768,256,2048,20,100,20260803,2026-08-11T10:48:29.746661+00:00,0.8550733327865601,7.698755711317062,4.599455833435059,4.595104217529297,4.757535934448242,4.6209286069869995,0.05640911649526114,507.9866605174108,16777216,2336462209024,0.5796393899356618,602316,27.854508264764675,346934016,6.6172412109375,0.452125026755137,"[0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19]","[4,14,26,38,6,18,30,40,10,22,32,2,14,24,36,6,16,28,40,8,20,32,42,12,24,34,4,16,26,38,8,18]",329.8644572496414,1829241856,40.0,241.23,1755.0,1593.0,47.0,251.88,1620.0,1593.0
b32_h32768_q256_csa_trace_replay_descending_steady,ok,,full,csa_trace_replay,descending,steady,32,32768,256,2048,20,100,20260803,2026-08-11T10:48:30.749734+00:00,0.8550733327865601,7.698755711317062,4.599679946899414,4.558591842651367,4.761568069458008,4.616197118759155,0.05903458452955866,507.9619095235049,16777216,2336462209024,0.5796393899356618,602316,27.854508264764675,346934016,6.6172412109375,0.452125026755137,"[0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19]","[4,14,26,38,6,18,30,40,10,22,32,2,14,24,36,6,16,28,40,8,20,32,42,12,24,34,4,16,26,38,8,18]",318.2777464389801,1829241856,40.0,251.68,1755.0,1593.0,48.0,254.69,1680.0,1593.0
b32_h32768_q256_original_strided_ascending_steady,ok,,full,original_strided,ascending,steady,32,32768,256,2048,20,100,20260803,2026-08-11T10:48:29.015294+00:00,0.8550733327865601,7.698755711317062,5.000160217285156,4.98745584487915,5.004159927368164,4.998569602966309,0.0054354370203717715,467.27746861931263,16777216,2336462209024,0.060973403033088236,1056286,15.88321344787302,608420736,11.60470458984375,,,,7.355757057666779,1829241856,41.0,307.72,1740.0,1593.0,46.0,316.35,1665.0,1593.0
b32_h32768_q256_original_strided_descending_steady,ok,,full,original_strided,descending,steady,32,32768,256,2048,20,100,20260803,2026-08-11T10:48:31.751107+00:00,0.8550733327865601,7.698755711317062,5.000927925109863,4.989535808563232,5.006400108337402,5.0002207899093625,0.004953435275609652,467.20573541812666,16777216,2336462209024,0.060973403033088236,1056286,15.88321344787302,608420736,11.60470458984375,,,,8.316494524478912,1829241856,44.0,256.67,1740.0,1593.0,47.0,324.66,1695.0,1593.0
b32_h32768_q64_csa_trace_replay_ascending_steady,ok,,full,csa_trace_replay,ascending,steady,32,32768,64,2048,10,30,20260803,2026-08-11T10:35:58.143652+00:00,0.7043592631816864,5.720101296901703,1.151487946510315,1.1495360136032104,1.1841599941253662,1.1558581272761026,0.016395992160066174,507.2702272101183,4194304,584115552256,0.6096113901289684,390068,10.752750802424194,224679168,4.2854150390625,0.46526609894814086,"[0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19]","[4,14,26,38,6,18,30,40,10,22,32,2,14,24,36,6,16,28,40,8,20,32,42,12,24,34,4,16,26,38,8,18]",82.0711962878704,1194329088,43.0,152.44,1740.0,1593.0,47.0,168.23,1680.0,1593.0
b32_h32768_q64_csa_trace_replay_descending_steady,ok,,full,csa_trace_replay,descending,steady,32,32768,64,2048,10,30,20260803,2026-08-11T10:35:58.350600+00:00,0.7043592631816864,5.720101296901703,1.1528639793395996,1.1498559713363647,1.1973439455032349,1.1688629309336345,0.02177201059075651,506.66476073838436,4194304,584115552256,0.6096113901289684,390068,10.752750802424194,224679168,4.2854150390625,0.46526609894814086,"[0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19,5,0,19]","[4,14,26,38,6,18,30,40,10,22,32,2,14,24,36,6,16,28,40,8,20,32,42,12,24,34,4,16,26,38,8,18]",83.19239318370819,1194329088,43.0,151.9,1740.0,1593.0,44.0,169.39,1710.0,1593.0
b32_h32768_q64_original_strided_ascending_steady,ok,,full,original_strided,ascending,steady,32,32768,64,2048,10,30,20260803,2026-08-11T10:35:57.964909+00:00,0.7043592631816864,5.720101296901703,1.2328319549560547,1.2277120351791382,1.3246079683303833,1.2543370683987936,0.038385988419964816,473.7998150581855,4194304,584115552256,0.06067136734250992,1035516,4.050448278925676,596457216,11.3765185546875,,,,4.406176507472992,1194329088,46.0,166.39,1740.0,1593.0,44.0,170.35,1725.0,1593.0
b32_h32768_q64_original_strided_descending_steady,ok,,full,original_strided,descending,steady,32,32768,64,2048,10,30,20260803,2026-08-11T10:35:58.646108+00:00,0.7043592631816864,5.720101296901703,1.2080960273742676,1.2039999961853027,1.2861759662628174,1.2274911999702454,0.03399160737781133,483.5009295788713,4194304,584115552256,0.06067136734250992,1035516,4.050448278925676,596457216,11.3765185546875,,,,5.611240863800049,1194329088,44.0,169.8,1740.0,1593.0,43.0,173.11,1635.0,1593.0
b32_h65536_q1024_csa_trace_replay_ascending_steady,ok,,full,csa_trace_replay,ascending,steady,32,65536,1024,2048,10,30,20260803,2026-08-11T10:36:27.282065+00:00,0.9932816028594971,20.992707461118698,18.39014434814453,18.385087966918945,18.4136962890625,18.39196383158366,0.007060607803059344,508.19877534234513,67108864,9345848836096,0.4222351253207478,1328528,50.51369937253863,765232128,14.59564453125,0.3752120702933892,"[19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19]","[8,42,34,26,18,10,2,36,28,20,12,4,38,30,22,14,6,40,32,24,16,8,42,34,26,18,10,2,36,28,20,12]",1416.893821209669,5757257728,46.0,92.64,1755.0,1593.0,53.0,315.13,1710.0,1593.0
b32_h65536_q1024_csa_trace_replay_descending_steady,ok,,full,csa_trace_replay,descending,steady,32,65536,1024,2048,10,30,20260803,2026-08-11T10:36:29.592967+00:00,0.9932816028594971,20.992707461118698,18.409151077270508,18.245088577270508,18.483840942382812,18.386436208089194,0.07946737723765301,507.67407996532626,67108864,9345848836096,0.4222351253207478,1328528,50.51369937253863,765232128,14.59564453125,0.3752120702933892,"[19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19]","[8,42,34,26,18,10,2,36,28,20,12,4,38,30,22,14,6,40,32,24,16,8,42,34,26,18,10,2,36,28,20,12]",1421.0270419716835,5757257728,45.0,92.98,1755.0,1593.0,53.0,316.51,1680.0,1593.0
