B,H,Q,pattern,latency_ms,latency_ms_pass_min,latency_ms_pass_max,pass_spread,tflops,tflops_pass_min,tflops_pass_max,adjacent_overlap,unique_kv,reuse_factor,c4_consecutive_fraction,pass_count
8,16384,64,original_strided,0.33660800755023956,0.33641600608825684,0.3368000090122223,0.0011414525974269285,433.8249010720415,433.5774470204978,434.0723551235851,0.12697637648809523,131511,7.973295009542928,,2
8,16384,256,csa_trace_replay,1.1288000345230103,1.127776026725769,1.1298240423202515,0.001815977238342592,517.4663492990267,516.9969219777242,517.935776620329,0.7057081035539216,87336,48.02491526976276,0.5520320526541096,2
8,16384,256,original_strided,1.126751959323883,1.1233279705047607,1.1301759481430054,0.006096151629846336,518.4112984413082,516.8359433022457,519.9866535803708,0.1247891295189951,133069,31.519767939940934,,2
8,16384,1024,csa_trace_replay,4.648015975952148,4.569056034088135,4.726975917816162,0.034562912459344286,502.8245795505594,494.28265547488405,511.3665036262348,0.7115813821175465,109820,152.77013294481878,0.5501142826565557,2
8,16384,1024,original_strided,4.713360071182251,4.6877760887146,4.738944053649902,0.010915189626587551,495.72513337608996,493.03435165571807,498.4159150964619,0.11872387957829302,139221,120.507796955919,,2
8,16384,2048,csa_trace_replay,8.980160236358643,8.978464126586914,8.981856346130371,0.0003778173522364092,520.3609358578772,520.2626537287276,520.4592179870268,0.7089899805737054,120864,277.6213926396611,0.5453393268025318,2
8,16384,2048,original_strided,9.0283842086792,8.989472389221191,9.067296028137207,0.008657197613658685,517.5910898403226,515.3603018526362,519.8218778280092,0.11565610497068882,147390,227.6574530158084,,2
8,32768,64,csa_trace_replay,0.33187200129032135,0.33164799213409424,0.33209601044654846,0.0013508850440231424,440.01589175356867,439.71888691961163,440.31289658752576,0.6102663070436507,98868,10.605817858154307,0.4761879280821918,2
8,32768,64,original_strided,0.3529760092496872,0.3527680039405823,0.3531840145587921,0.0011792753695425429,413.70782984614675,413.46403586930063,413.95162382299293,0.07359967912946429,257009,4.079919380255166,,2
8,32768,256,csa_trace_replay,1.1357280015945435,1.1353600025177002,1.1360960006713867,0.0006482509090106614,514.3094233493985,514.1427765882561,514.4760701105407,0.5723249846813726,153376,27.34654704777801,0.4553246544765166,2
8,32768,256,original_strided,1.1480479836463928,1.1473280191421509,1.1487679481506348,0.0012550281911187788,508.7903905566093,508.471317637604,509.1094634756145,0.06530905330882353,264085,15.8824014995172,,2
8,32768,1024,csa_trace_replay,4.634608030319214,4.627488136291504,4.641727924346924,0.003077217625636397,504.1349145208375,503.3604397122722,504.90938932940287,0.5805644970369013,206752,81.14657173812104,0.4499542773819716,2
