H,N,adjacent_overlap,backend,cache_state,case_id,flops,kv_token_bytes,latency_ms,latency_ms_mean,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_std,mem_clock_mhz_after,mem_clock_mhz_before,pairs,pass_count,pass_order,pass_spread_pct,pattern,peak_mem_alloc_bytes,power_w_after,power_w_before,repeat,reuse_factor,seed,segment_mode,selected_kv_working_set_bytes,selected_kv_working_set_vs_l2,skip_reason,sm_clock_mhz_after,sm_clock_mhz_before,status,temp_c_after,temp_c_before,tflops,timestamp,topk,unique_kv,warmup
32768,64,1.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_shared_dispersed_n64_h32768,18253611008,1152,0.06865600124001503,0.0685311995446682,0.0684799998998642,0.06803199648857117,0.06943999975919724,0.000540449659068627,2619.0,2619.0,131072,2,descending,0.5140226063323317,shared_dispersed,317228032,299.65,299.65,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,44.0,44.0,265.87232922960015,2026-08-10T09:07:10.527530+00:00,2048,2048,10
524288,64,1.0,flashmla_bf16,steady,descending_flashmla_bf16_steady_shared_dispersed_n64_h524288,18253611008,1152,0.06865600124001503,0.06907413353522619,0.06867200136184692,0.06835199892520905,0.07135999947786331,0.001301988755795296,2619.0,2619.0,131072,2,descending,0.04662040084861818,shared_dispersed,883459072,156.82,156.82,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,42.0,42.0,265.8705964473961,2026-08-10T09:07:08.312312+00:00,2048,2048,10
2048,64,0.0,flashmla_fp8_decode,l2-cold,descending_flashmla_fp8_decode_l2-cold_native_independent_dispersed_n64_h2048,18253611008,656,0.08548799902200699,0.08528106634815534,0.08528000116348267,0.08409599959850311,0.08617600053548813,0.0008672526056880666,2619.0,2619.0,131072,2,descending,0.4877998491711777,native_independent_dispersed,735584256,155.21,154.56,30,1.0,20260810,isolated,85983232,1.64,,1980.0,1980.0,ok,42.0,41.0,213.52376094057303,2026-08-10T09:07:16.186496+00:00,2048,131072,10
32768,64,0.0,flashmla_fp8_decode,l2-cold,descending_flashmla_fp8_decode_l2-cold_native_independent_dispersed_n64_h32768,18253611008,656,0.08873600140213966,0.08843306650718054,0.08816000074148178,0.08761599659919739,0.08966399729251862,0.0008628829268248738,2619.0,2619.0,131072,2,descending,1.3067165513007017,native_independent_dispersed,4636147712,165.21,160.51,30,1.0,20260810,isolated,85983232,1.64,,1980.0,1980.0,ok,42.0,42.0,205.7156044179522,2026-08-10T09:07:13.188936+00:00,2048,131072,10
524288,64,0.0,flashmla_fp8_decode,l2-cold,descending_flashmla_fp8_decode_l2-cold_native_independent_dispersed_n64_h524288,18253611008,656,0.08903999999165535,0.08902826632062594,0.08870399743318558,0.08806400001049042,0.09065599739551544,0.0010878657924164275,2619.0,2619.0,131072,2,descending,0.7575815480533654,native_independent_dispersed,25274089472,449.15,309.52,30,1.0,20260810,isolated,85983232,1.64,,1980.0,1980.0,ok,52.0,50.0,205.0075353521097,2026-08-10T09:07:09.452063+00:00,2048,131072,10
2048,64,0.0,flashmla_fp8_decode,steady,descending_flashmla_fp8_decode_steady_native_independent_dispersed_n64_h2048,18253611008,656,0.09083200246095657,0.09072640041510265,0.09030400216579437,0.08979199826717377,0.09328000247478485,0.0013817286587694906,2619.0,2619.0,131072,2,descending,1.1693840416791668,native_independent_dispersed,735584256,154.56,154.23,30,1.0,20260810,isolated,85983232,1.64,,1980.0,1980.0,ok,41.0,41.0,200.96692054717784,2026-08-10T09:07:16.100858+00:00,2048,131072,10
32768,64,0.0,flashmla_fp8_decode,steady,descending_flashmla_fp8_decode_steady_native_independent_dispersed_n64_h32768,18253611008,656,0.09524799883365631,0.09514559979240099,0.0947519987821579,0.09375999867916107,0.09743999689817429,0.0017811890108291224,2619.0,2619.0,131072,2,descending,1.0469437222928812,native_independent_dispersed,4636147712,180.74,165.21,30,1.0,20260810,isolated,85983232,1.64,,1980.0,1980.0,ok,45.0,42.0,191.64818410478028,2026-08-10T09:07:13.277445+00:00,2048,131072,10
524288,64,0.0,flashmla_fp8_decode,steady,descending_flashmla_fp8_decode_steady_native_independent_dispersed_n64_h524288,18253611008,656,0.0950080007314682,0.09530986646811167,0.09491200000047684,0.09414400160312653,0.09824000298976898,0.001092936264290089,2619.0,2619.0,131072,2,descending,0.20229419038875207,native_independent_dispersed,25274089472,309.52,159.9,30,1.0,20260810,isolated,85983232,1.64,,1980.0,1980.0,ok,50.0,41.0,192.12728932877988,2026-08-10T09:07:08.925392+00:00,2048,131072,10
2048,64,1.0,sglang_q8kv8,l2-cold,descending_sglang_q8kv8_l2-cold_independent_contiguous_n64_h2048,18253611008,576,0.0655359998345375,0.06551039988795916,0.06524799764156342,0.06467200070619583,0.06703999638557434,0.000990773649438623,2619.0,2619.0,131072,2,descending,0.882792433129409,independent_contiguous,278303232,153.64,153.64,30,64.0,20260810,shared,1179648,0.0225,,1980.0,1980.0,ok,41.0,41.0,278.5333797953041,2026-08-10T09:07:15.460872+00:00,2048,2048,10
32768,64,0.75,sglang_q8kv8,l2-cold,descending_sglang_q8kv8_l2-cold_independent_contiguous_n64_h32768,18253611008,576,0.06721600145101547,0.0674272005756696,0.066880002617836,0.0663359984755516,0.07187200337648392,0.001443938157312313,2619.0,2619.0,131072,2,descending,1.0047811603699497,independent_contiguous,295997952,157.78,157.78,30,4.0,20260810,shared,18874368,0.36,,1980.0,1980.0,ok,42.0,42.0,271.5732376993732,2026-08-10T09:07:11.236549+00:00,2048,32768,10
524288,64,0.0,sglang_q8kv8,l2-cold,descending_sglang_q8kv8_l2-cold_independent_contiguous_n64_h524288,18253611008,576,0.0737759992480278,0.07404693389932314,0.07347200065851212,0.07260800153017044,0.07692799717187881,0.0024245002393616408,2619.0,2619.0,131072,2,descending,0.827522285472071,independent_contiguous,579113472,302.19,301.81,30,1.0,20260810,shared,75497472,1.44,,1980.0,1980.0,ok,44.0,44.0,247.42356766387684,2026-08-10T09:07:05.871359+00:00,2048,131072,10
2048,64,1.0,sglang_q8kv8,l2-cold,descending_sglang_q8kv8_l2-cold_independent_dispersed_n64_h2048,18253611008,576,0.06568000093102455,0.06553919985890388,0.06537599861621857,0.06451199948787689,0.06831999868154526,0.001151714024095222,2619.0,2619.0,131072,2,descending,0.9300119959638087,independent_dispersed,278303232,156.78,156.78,30,64.0,20260810,shared,1179648,0.0225,,1980.0,1980.0,ok,41.0,41.0,277.9232918880877,2026-08-10T09:07:15.341943+00:00,2048,2048,10
32768,64,0.0,sglang_q8kv8,l2-cold,descending_sglang_q8kv8_l2-cold_independent_dispersed_n64_h32768,18253611008,576,0.06756800040602684,0.06741226663192114,0.0671359971165657,0.0663679987192154,0.06864000111818314,0.0011087434067449965,2619.0,2619.0,131072,2,descending,1.2869497974717259,independent_dispersed,295997952,158.21,158.21,30,4.0,20260810,shared,18874368,0.36,,1980.0,1980.0,ok,42.0,42.0,270.162756096561,2026-08-10T09:07:11.141838+00:00,2048,32768,10
524288,64,0.0,sglang_q8kv8,l2-cold,descending_sglang_q8kv8_l2-cold_independent_dispersed_n64_h524288,18253611008,576,0.07623999938368797,0.07608853330214818,0.07583999633789062,0.07481600344181061,0.07891199737787247,0.001161344879080355,2619.0,2619.0,131072,2,descending,1.054860403777469,independent_dispersed,579113472,316.57,361.11,30,1.0,20260810,shared,75497472,1.44,,1980.0,1980.0,ok,45.0,45.0,239.42961226123109,2026-08-10T09:07:05.703631+00:00,2048,131072,10
2048,64,0.0,sglang_q8kv8,l2-cold,descending_sglang_q8kv8_l2-cold_isolated_contiguous_n64_h2048,18253611008,576,0.07454400137066841,0.07311359991629919,0.07286400347948074,0.07155200093984604,0.07539200037717819,0.0012184783297579408,2619.0,2619.0,131072,2,descending,4.611324689730423,isolated_contiguous,351572480,154.23,154.23,30,1.0,20260810,isolated,75497472,1.44,,1980.0,1980.0,ok,41.0,41.0,244.99472376719922,2026-08-10T09:07:16.041524+00:00,2048,131072,10
32768,64,0.0,sglang_q8kv8,l2-cold,descending_sglang_q8kv8_l2-cold_isolated_contiguous_n64_h32768,18253611008,576,0.07361600175499916,0.0736330675582091,0.0735040009021759,0.07235199958086014,0.0753600001335144,0.0010013995664828693,2619.0,2619.0,131072,2,descending,0.30474763672339034,isolated_contiguous,1484034560,160.51,160.51,30,1.0,20260810,isolated,75497472,1.44,,1980.0,1980.0,ok,42.0,42.0,247.95768345068595,2026-08-10T09:07:13.152050+00:00,2048,131072,10
